"","X","species_code","scientific_name","common_name.x","group","order","family","CCS.max","habitat_score","habitat_comment","bodymass","predicted_defecation_rate","est_axial_length","wingloading_quantile"
"91",150,"bkcchi","Poecile atricapillus","Black-capped Chickadee","landbird","Passeriformes","Paridae",7,1,"",10.8,0.746938490925969,11.662357180721,2
"92",151,"bkpwar","Setophaga striata","Blackpoll Warbler","landbird","Passeriformes","Parulidae",11,1,"",11.84,0.805685358573765,8.20511156964005,1
"93",153,"blujay","Cyanocitta cristata","Blue Jay","landbird","Passeriformes","Corvidae",8,1,"",88,4.20282310312945,11.6904894296843,3
"94",154,"bnhcow","Molothrus ater","Brown-headed Cowbird","landbird","Passeriformes","Icteridae",8,1,"",40.26,2.20736147654786,6.95448643419263,3
"95",157,"bohwax","Bombycilla garrulus","Bohemian Waxwing","landbird","Passeriformes","Bombycillidae",11,1,"",54.41,2.82872828039256,10.0110895804892,3
"96",159,"brebla","Euphagus cyanocephalus","Brewer's Blackbird","landbird","Passeriformes","Icteridae",11,1,"",62.48,3.16995051778766,7.92331240701572,3
"97",161,"brnthr","Toxostoma rufum","Brown Thrasher","landbird","Passeriformes","Mimidae",11,1,"",68.8,3.43173541766906,8.06419075495745,3
"98",162,"btbwar","Setophaga caerulescens","Black-throated Blue Warbler","landbird","Passeriformes","Parulidae",10,1,"",10.14,0.709141098280572,7.6915233470134,1
"99",163,"btnwar","Setophaga virens","Black-throated Green Warbler","landbird","Passeriformes","Parulidae",11,1,"",8.69,0.624515527100798,8.42636224140141,2
"100",165,"buhvir","Vireo solitarius","Blue-headed Vireo","landbird","Passeriformes","Vireonidae",8,1,"",15.3,0.995070030887489,11.0098134431757,2
"101",167,"camwar","Setophaga tigrina","Cape May Warbler","landbird","Passeriformes","Parulidae",11,1,"",10.04,0.703376923368068,9.95635105372356,1
"102",171,"cedwax","Bombycilla cedrorum","Cedar Waxwing","landbird","Passeriformes","Bombycillidae",8,1,"",31.58,1.80728182348908,17.4517080076723,2
"103",173,"chispa","Spizella passerina","Chipping Sparrow","landbird","Passeriformes","Passerellidae",9,1,"",12.2,0.825805278289198,6.97558893848768,1
"104",174,"chswar","Setophaga pensylvanica","Chestnut-sided Warbler","landbird","Passeriformes","Parulidae",12,1,"",9.29,0.659813764719598,12.3405720809234,2
"105",177,"comgra","Quiscalus quiscula","Common Grackle","landbird","Passeriformes","Icteridae",10,1,"",105.18,4.86767450154358,8.50812476154276,3
"106",178,"comrav","Corvus corax","Common Raven","landbird","Passeriformes","Corvidae",6,1,"",927.97,29.2430716475922,10.0575131800018,4
"107",180,"comyel","Geothlypis trichas","Common Yellowthroat","landbird","Passeriformes","Parulidae",9,2,"",9.54,0.674401469588556,16.1927150125803,2
"108",181,"daejun","Junco hyemalis","Dark-eyed Junco","landbird","Passeriformes","Passerellidae",9,1,"",19.5,1.21507663377797,19.8310168586116,2
"109",183,"easblu","Sialia sialis","Eastern Bluebird","landbird","Passeriformes","Turdidae",7,1,"",27.5,1.61268860714008,9.51800100835202,2
"110",185,"easmea","Sturnella magna","Eastern Meadowlark","landbird","Passeriformes","Icteridae",11,1,"",91.76,4.35015462847668,8.97303234066075,4
"111",186,"easpho","Sayornis phoebe","Eastern Phoebe","landbird","Passeriformes","Tyrannidae",9,1,"",19.7,1.22533009578646,11.9415529548318,1
"112",187,"eastow","Pipilo erythrophthalmus","Eastern Towhee","landbird","Passeriformes","Passerellidae",13,1,"",40.03,2.19697160717777,14.1216167524485,3
"113",189,"eursta","Sturnus vulgaris","European Starling","landbird","Passeriformes","Sturnidae",9,1,"",77.14,3.77080831734873,9.7468032112666,3
"114",191,"fiespa","Spizella pusilla","Field Sparrow","landbird","Passeriformes","Passerellidae",13,1,"",12.5,0.842491874421535,10.3492698049173,2
"115",192,"fiscro","Corvus ossifragus","Fish Crow","landbird","Passeriformes","Corvidae",11,1,"",284.6,11.0489663061387,12.8213416666869,3
"116",193,"foxspa","Passerella iliaca","Fox Sparrow","landbird","Passeriformes","Passerellidae",9,1,"",33.25,1.88562531640882,14.6057406819771,3
"117",194,"gockin","Regulus satrapa","Golden-crowned Kinglet","landbird","Passeriformes","Regulidae",10,1,"",6.19,0.472299868746161,21.0420077327915,1
"118",196,"graspa","Ammodramus savannarum","Grasshopper Sparrow","landbird","Passeriformes","Passerellidae",12,1,"",17.61,1.11723114198543,8.76346806541466,2
"119",198,"grycat","Dumetella carolinensis","Gray Catbird","landbird","Passeriformes","Mimidae",8,1,"",35.3,1.98085381168832,14.3176636536884,2
"120",200,"gycthr","Catharus minimus","Gray-cheeked Thrush","landbird","Passeriformes","Turdidae",9,1,"",31.58,1.80728182348908,11.7744001089534,2
"121",202,"herthr","Catharus guttatus","Hermit Thrush","landbird","Passeriformes","Turdidae",9,1,"",30.1,1.73723880405139,11.4277034035026,3
"122",204,"hoowar","Setophaga citrina","Hooded Warbler","landbird","Passeriformes","Parulidae",10,1,"",10.54,0.73209868873621,22.0146185341565,1
"123",207,"houspa","Passer domesticus","House Sparrow","landbird","Passeriformes","Passeridae",9,1,"",26.51,1.56472480869596,20.525356403696,3
"124",208,"houwre","Troglodytes aedon","House Wren","landbird","Passeriformes","Troglodytidae",5,1,"",10.85,0.749785029719481,16.6922571863243,2
"125",209,"indbun","Passerina cyanea","Indigo Bunting","landbird","Passeriformes","Cardinalidae",10,1,"",14.69,0.96228278528553,14.9719223717539,2
"126",211,"laplon","Calcarius lapponicus","Lapland Longspur","landbird","Passeriformes","Calcariidae",10,1,"",27.84,1.62909027757939,10.4232144703663,2
"127",213,"linspa","Melospiza lincolnii","Lincoln's Sparrow","landbird","Passeriformes","Passerellidae",7,1,"",16.6,1.06419014972044,9.8891509958305,3
"128",215,"louwat","Parkesia motacilla","Louisiana Waterthrush","landbird","Passeriformes","Parulidae",11,2,"",19.9,1.23556520086336,13.674397132101,2
"129",216,"magwar","Setophaga magnolia","Magnolia Warbler","landbird","Passeriformes","Parulidae",9,1,"",8.14,0.591779171306814,9.17227598146481,1
"130",221,"normoc","Mimus polyglottos","Northern Mockingbird","landbird","Passeriformes","Mimidae",9,1,"",48.5,2.57316813268969,19.6313423876845,2
"131",222,"norpar","Setophaga americana","Northern Parula","landbird","Passeriformes","Parulidae",9,1,"",7.84,0.573759340792849,6.79592245250219,1
"132",224,"norwat","Parkesia noveboracensis","Northern Waterthrush","landbird","Passeriformes","Parulidae",8,2,"",16.3,1.04832688318287,7.00772127577127,2
"133",227,"orcori","Icterus spurius","Orchard Oriole","landbird","Passeriformes","Icteridae",10,1,"",19.44,1.2119969825568,11.9073731942067,2
"134",229,"ovenbi1","Seiurus aurocapilla","Ovenbird","landbird","Passeriformes","Parulidae",9,1,"",18.8,1.17904170927504,6.39412916294161,2
"135",232,"pingro","Pinicola enucleator","Pine Grosbeak","landbird","Passeriformes","Fringillidae",12,1,"",56.4,2.91365502936889,6.40738023382252,3
"136",237,"purfin","Haemorhous purpureus","Purple Finch","landbird","Passeriformes","Fringillidae",8,1,"",23.3,1.40694689213576,16.2978880775988,2
"137",238,"purmar","Progne subis","Purple Martin","landbird","Passeriformes","Hirundinidae",9,2,"",53.79,2.80215740635771,6.41924051051764,2
"138",240,"redcro","Loxia curvirostra","Red Crossbill","landbird","Passeriformes","Fringillidae",9,1,"",38.29,2.11802326324384,7.28003560656026,3
"139",241,"reevir1","Vireo olivaceus","Red-eyed Vireo","landbird","Passeriformes","Vireonidae",5,1,"",16.06,1.03559915872486,5.72108935334208,2
"140",242,"rewbla","Agelaius phoeniceus","Red-winged Blackbird","landbird","Passeriformes","Icteridae",8,2,"",50.78,2.67237722429099,10.3239917616341,3
"141",243,"robgro","Pheucticus ludovicianus","Rose-breasted Grosbeak","landbird","Passeriformes","Cardinalidae",10,1,"",42,2.2856287192915,7.00274665744455,2
"142",244,"ruckin","Corthylio calendula","Ruby-crowned Kinglet","landbird","Passeriformes","Regulidae",7,1,"",6.19,0.472299868746161,6.28522349927295,1
"143",249,"snobun","Plectrophenax nivalis","Snow Bunting","landbird","Passeriformes","Calcariidae",11,1,"",42.2,2.29458788057038,8.21672704055669,2
"144",250,"sonspa","Melospiza melodia","Song Sparrow","landbird","Passeriformes","Passerellidae",9,1,"",21.91,1.33745482958705,6.40473619668614,3
"145",252,"swaspa","Melospiza georgiana","Swamp Sparrow","landbird","Passeriformes","Passerellidae",7,2,"",16.1,1.03772276467969,7.01096146501241,2
"146",253,"swathr","Catharus ustulatus","Swainson's Thrush","landbird","Passeriformes","Turdidae",9,1,"",30.3,1.74673899025168,6.15598275591654,2
"147",256,"treswa","Tachycineta bicolor","Tree Swallow","landbird","Passeriformes","Hirundinidae",10,2,"",21.2,1.30166047783322,5.76782385169778,1
"148",257,"tuftit","Baeolophus bicolor","Tufted Titmouse","landbird","Passeriformes","Paridae",7,1,"",21.6,1.32185188460943,7.86580394042439,2
"149",258,"veery","Catharus fuscescens","Veery","landbird","Passeriformes","Turdidae",11,1,"",31.9,1.82234927848972,5.97722755243906,2
"150",259,"vesspa","Pooecetes gramineus","Vesper Sparrow","landbird","Passeriformes","Passerellidae",11,1,"",25.68,1.52426882506622,6.1411420375907,3
"151",264,"whtspa","Zonotrichia albicollis","White-throated Sparrow","landbird","Passeriformes","Passerellidae",9,1,"",24.4,1.46142189308487,6.29079618210358,3
"152",268,"wlswar","Cardellina pusilla","Wilson's Warbler","landbird","Passeriformes","Parulidae",9,1,"",6.96,0.52017472050815,7.83599524210507,2
"153",270,"woothr","Hylocichla mustelina","Wood Thrush","landbird","Passeriformes","Turdidae",14,1,"",50.09,2.64243799672029,10.6375222552562,2
"154",274,"yerwar","Setophaga coronata","Yellow-rumped Warbler","landbird","Passeriformes","Parulidae",8,1,"",11.94,0.811284922185776,8.66767259672109,2
"155",276,"yetwar","Setophaga dominica","Yellow-throated Warbler","landbird","Passeriformes","Parulidae",10,1,"",9.69,0.683121644857008,6.04990080708944,1
"156",277,"amebit","Botaurus lentiginosus","American Bittern","waterbird","Pelecaniformes","Ardeidae",12,3,"",706,23.3479933215522,8.12551373395527,4
"157",278,"amwpel","Pelecanus erythrorhynchos","American White Pelican","waterbird","Pelecaniformes","Pelecanidae",10,4,"",5608.48,128.656624639924,9.3790351590453,5
"158",279,"bcnher","Nycticorax nycticorax","Black-crowned Night Heron","waterbird","Pelecaniformes","Ardeidae",10,3,"",810,26.145457956965,12.2576929415593,4
"159",280,"brnpel","Pelecanus occidentalis","Brown Pelican","waterbird","Pelecaniformes","Pelecanidae",11,4,"",3427.84,85.7724357314917,9.72495254267252,5
"160",282,"gloibi","Plegadis falcinellus","Glossy Ibis","waterbird","Pelecaniformes","Threskiornithidae",8,3,"",626.61,21.1634382711624,5.69547228539564,4
"161",283,"grbher3","Ardea herodias","Great Blue Heron","waterbird","Pelecaniformes","Ardeidae",8,3,"",2523.41,66.6492712600344,9.97347815353648,4
"162",284,"greegr","Ardea alba","Great Egret","waterbird","Pelecaniformes","Ardeidae",6,3,"",871.33,27.765099908228,6.04056068473195,3
"163",285,"grnher","Butorides virescens","Green Heron","waterbird","Pelecaniformes","Ardeidae",12,3,"",201.5,8.3143794246338,5.8013129432195,3
"164",287,"libher","Egretta caerulea","Little Blue Heron","waterbird","Pelecaniformes","Ardeidae",12,3,"",338.61,12.7487298778885,5.21845201973692,3
"165",289,"rosspo1","Platalea ajaja","Roseate Spoonbill","waterbird","Pelecaniformes","Threskiornithidae",9,3,"",1490,43.189434257709,6.72765414863592,4
"166",291,"triher","Egretta tricolor","Tricolored Heron","waterbird","Pelecaniformes","Ardeidae",12,3,"",372.3,13.7844528507806,5.83770421181828,3
"167",292,"whfibi","Plegadis chihi","White-faced Ibis","waterbird","Pelecaniformes","Threskiornithidae",7,3,"",616.89,20.8927209142772,6.02490275392739,4
"168",293,"whiibi","Eudocimus albus","White Ibis","waterbird","Pelecaniformes","Threskiornithidae",9,3,"",889.66,28.245211043077,6.02490275392739,4
"169",296,"dowwoo","Dryobates pubescens","Downy Woodpecker","landbird","Piciformes","Picidae",8,1,"",25.55,1.51791160221956,6.01703058642428,2
"170",298,"norfli","Colaptes auratus","Northern Flicker","landbird","Piciformes","Picidae",10,1,"",131.46,5.84905951153388,7.11634998015758,3
"171",300,"rebwoo","Melanerpes carolinus","Red-bellied Woodpecker","landbird","Piciformes","Picidae",7,1,"",69.5,3.46046292816149,8.13361907178522,3
"172",302,"yebsap","Sphyrapicus varius","Yellow-bellied Sapsucker","landbird","Piciformes","Picidae",7,1,"",50.3,2.65155759674416,5.86161437766862,2
"173",304,"horgre","Podiceps auritus","Horned Grebe","waterbird","Podicipediformes","Podicipedidae",13,5,"",453,16.2015257889103,6.34033535458509,5
"174",306,"pibgre","Podilymbus podiceps","Pied-billed Grebe","waterbird","Podicipediformes","Podicipedidae",8,5,"",411.93,14.9818749847865,5.90363980656791,5
"175",307,"rengre","Podiceps grisegena","Red-necked Grebe","waterbird","Podicipediformes","Podicipedidae",9,5,"",1023,31.6877455032652,6.19991022480679,5
"176",308,"wesgre","Aechmophorus occidentalis","Western Grebe","waterbird","Podicipediformes","Podicipedidae",12,5,"",1136.95,34.5670035600107,7.3634941286965,5
"177",309,"brdowl","Strix varia","Barred Owl","landbird","Strigiformes","Strigidae",7,1,"",711.49,23.4974045176237,11.1461142865064,3
"178",310,"brnowl","Tyto alba","Barn Owl","landbird","Strigiformes","Tytonidae",8,1,"",403.32,14.7235204728427,19.71336550486,3
"179",311,"easowl1","Megascops asio","Eastern Screech-Owl","landbird","Strigiformes","Strigidae",9,1,"",179.99,7.57628693237343,6.44667683068519,4
"180",312,"grhowl","Bubo virginianus","Great Horned Owl","landbird","Strigiformes","Strigidae",8,1,"",1575.7,45.2249462487669,5.94483857663598,4
"181",313,"loeowl","Asio otus","Long-eared Owl","landbird","Strigiformes","Strigidae",10,1,"",296.57,11.4302561041937,7.16887987222054,2
