"","X.2","X.1","X","species_code","scientific_name","common_name.x","common_name.y","group","order","family","CCS.max","habitat_score","habitat_comment","English","bodymass","mass_comments","log_bodymass","predicted_defecation_rate","log_predicted_defecation_rate","order_ind","est_axial_length","log_est_axial_length"
"1",1,1,19,"baleag","Haliaeetus leucocephalus","Bald Eagle","Bald Eagle","landbird","Accipitriformes","Accipitridae",9,3,"","Bald Eagle",4700.58,"",8.45544118433979,111.243573649124,4.71172215442619,1,33.4537712794164,3.5101645239984
"2",2,2,54,"brwhaw","Buteo platypterus","Broad-winged Hawk","Broad-winged Hawk","landbird","Accipitriformes","Accipitridae",8,1,"","Broad-winged Hawk",453.65,"",6.11732597561564,16.2206674347041,2.78628619671269,1,18.1351242264106,2.89785062280298
"3",3,3,92,"coohaw","Accipiter cooperii","Cooper's Hawk","Cooper's Hawk","landbird","Accipitriformes","Accipitridae",7,1,"","Cooper's Hawk",429.67,"",6.06301747219289,15.5112131074165,2.74156318866347,1,17.8790228778656,2.88362811936311
"4",4,4,121,"goleag","Aquila chrysaetos","Golden Eagle","Golden Eagle","landbird","Accipitriformes","Accipitridae",10,1,"Fishing rare","Golden Eagle",4247.97,"",8.35419650074994,102.344772952969,4.62834724048532,1,32.5784232997073,3.48365020727317
"5",5,5,176,"miskit","Ictinia mississippiensis","Mississippi Kite","Mississippi Kite","landbird","Accipitriformes","Accipitridae",9,1,"","Mississippi Kite",276.03,"",5.62050955546238,10.7742419622309,2.37715828198193,1,15.9226492558413,2.76774257711433
"6",6,6,186,"norhar2","Circus hudsonius","Northern Harrier","Northern Harrier","landbird","Accipitriformes","Accipitridae",11,1,"",NA,392.98,"",5.97375871998905,14.411963775594,2.66805867939351,1,17.4659403861397,2.86025272084817
"7",7,7,198,"osprey","Pandion haliaetus","Osprey","Osprey","landbird","Accipitriformes","Pandionidae",7,3,"","Osprey",1483.2,"",7.30195719481159,43.0270520196512,3.76182903461866,1,24.731705571669,3.20808604687328
"8",8,8,227,"reshaw","Buteo lineatus","Red-shouldered Hawk","Red-shouldered Hawk","landbird","Accipitriformes","Accipitridae",8,1,"","Red-shouldered Hawk",603.72,"",6.40311051429123,20.5247100802972,3.02162953004005,1,19.5444799508693,2.97269289110731
"9",9,9,228,"rethaw","Buteo jamaicensis","Red-tailed Hawk","Red-tailed Hawk","landbird","Accipitriformes","Accipitridae",7,1,"","Red-tailed Hawk",1101.16,"",7.00411944859855,33.6684061535229,3.51655989476483,1,22.8759751975911,3.13008724184157
"10",10,10,237,"rolhaw","Buteo lagopus","Rough-legged Hawk","Rough-legged Hawk","landbird","Accipitriformes","Accipitridae",9,1,"","Rough-legged Hawk",949.76,"",6.85620932109891,29.8073803624767,3.39475602601826,1,22.0068113707697,3.09135201320198
"11",11,11,257,"shshaw","Accipiter striatus","Sharp-shinned Hawk","Sharp-shinned Hawk","landbird","Accipitriformes","Accipitridae",9,1,"","Sharp-shinned Hawk",130.59,"",4.87206264423232,5.81716403703013,1.76081286412362,1,13.0885348696826,2.5717366462077
"12",12,12,274,"swtkit","Elanoides forficatus","Swallow-tailed Kite","Swallow-tailed Kite","landbird","Accipitriformes","Accipitridae",10,1,"","American Swallow-tailed Kite",416.24,"",6.03126201698205,15.1108434795203,2.71541259732889,1,17.73095333351,2.8753118881561
"13",13,13,3,"ambduc","Anas rubripes","American Black Duck","American Black Duck","waterfowl","Anseriformes","Anatidae",12,4,"Tolerant of vegetation but possibly high collision risk due to habitat use.","American Black Duck",1240.96,"",7.12364055261423,37.1508044838062,3.61498542594427,2,12.9051602655968,2.55762725196962
"14",14,14,12,"amewig","Mareca americana","American Wigeon","American Wigeon","waterfowl","Anseriformes","Anatidae",10,4,"",NA,754.61,"",6.62620105949647,24.6639931077488,3.20534441113801,2,11.3288892463391,2.42735603372379
"15",15,15,22,"bargol","Bucephala islandica","Barrow's Goldeneye","Barrow's Goldeneye","waterfowl","Anseriformes","Anatidae",13,5,"""Prefers open water without emergent or dense submerged vegetation.""","Barrow's Goldeneye",921.21,"",6.8256880232936,29.0675305422501,3.36962176229544,2,11.9364696152749,2.4795983871307
