,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS-max,habitat_score,habitat_comment
75,chispa,Spizella passerina,Chipping Sparrow,Chipping Sparrow,landbird,Passeriformes,Passerellidae,9,1,
77,chswar,Setophaga pensylvanica,Chestnut-sided Warbler,Chestnut-sided Warbler,landbird,Passeriformes,Parulidae,12,1,
81,clcspa,Spizella pallida,Clay-colored Sparrow,Clay-colored Sparrow,landbird,Passeriformes,Passerellidae,10,1,
82,cliswa,Petrochelidon pyrrhonota,Cliff Swallow,Cliff Swallow,landbird,Passeriformes,Hirundinidae,5,2,
85,comgra,Quiscalus quiscula,Common Grackle,Common Grackle,landbird,Passeriformes,Icteridae,10,1,
89,comrav,Corvus corax,Common Raven,Common Raven,landbird,Passeriformes,Corvidae,6,1,
90,comred,Acanthis flammea,Common Redpoll,Common Redpoll,landbird,Passeriformes,Fringillidae,9,1,
91,comyel,Geothlypis trichas,Common Yellowthroat,Common Yellowthroat,landbird,Passeriformes,Parulidae,9,2,
93,daejun,Junco hyemalis,Dark-eyed Junco,Dark-eyed Junco,landbird,Passeriformes,Passerellidae,9,1,
94,dickci,Spiza americana,Dickcissel,Dickcissel,landbird,Passeriformes,Cardinalidae,10,1,
98,easblu,Sialia sialis,Eastern Bluebird,Eastern Bluebird,landbird,Passeriformes,Turdidae,7,1,
99,easkin,Tyrannus tyrannus,Eastern Kingbird,Eastern Kingbird,landbird,Passeriformes,Tyrannidae,11,2,
100,easmea,Sturnella magna,Eastern Meadowlark,Eastern Meadowlark,landbird,Passeriformes,Icteridae,11,1,
102,easpho,Sayornis phoebe,Eastern Phoebe,Eastern Phoebe,landbird,Passeriformes,Tyrannidae,9,1,
103,eastow,Pipilo erythrophthalmus,Eastern Towhee,Eastern Towhee,landbird,Passeriformes,Passerellidae,13,1,
105,eawpew,Contopus virens,Eastern Wood-Pewee,Eastern Wood-Pewee,landbird,Passeriformes,Tyrannidae,9,1,
107,eursta,Sturnus vulgaris,European Starling,European Starling,landbird,Passeriformes,Sturnidae,9,1,
108,evegro,Coccothraustes vespertinus,Evening Grosbeak,Evening Grosbeak,landbird,Passeriformes,Fringillidae,14,1,
109,fiespa,Spizella pusilla,Field Sparrow,Field Sparrow,landbird,Passeriformes,Passerellidae,13,1,
110,fiscro,Corvus ossifragus,Fish Crow,Fish Crow,landbird,Passeriformes,Corvidae,11,1,
112,foxspa,Passerella iliaca,Fox Sparrow,Fox Sparrow,landbird,Passeriformes,Passerellidae,9,1,
120,gockin,Regulus satrapa,Golden-crowned Kinglet,Golden-crowned Kinglet,landbird,Passeriformes,Regulidae,10,1,
122,gowwar,Vermivora chrysoptera,Golden-winged Warbler,Golden-winged Warbler,landbird,Passeriformes,Parulidae,15,1,
123,graspa,Ammodramus savannarum,Grasshopper Sparrow,Grasshopper Sparrow,landbird,Passeriformes,Passerellidae,12,1,
125,grcfly,Myiarchus crinitus,Great Crested Flycatcher,Great Crested Flycatcher,landbird,Passeriformes,Tyrannidae,8,1,
132,grycat,Dumetella carolinensis,Gray Catbird,Gray Catbird,landbird,Passeriformes,Mimidae,8,1,
133,gryjay,Perisoreus canadensis,Canada Jay,Canada Jay,landbird,Passeriformes,Corvidae,9,1,
135,gycthr,Catharus minimus,Gray-cheeked Thrush,Gray-cheeked Thrush,landbird,Passeriformes,Turdidae,9,1,
137,henspa,Centronyx henslowii,Henslow's Sparrow,Henslow's Sparrow,landbird,Passeriformes,Passerellidae,15,1,
139,herthr,Catharus guttatus,Hermit Thrush,Hermit Thrush,landbird,Passeriformes,Turdidae,9,1,
140,hoared,Acanthis hornemanni,Hoary Redpoll,Hoary Redpoll,landbird,Passeriformes,Fringillidae,9,1,
142,hoowar,Setophaga citrina,Hooded Warbler,Hooded Warbler,landbird,Passeriformes,Parulidae,10,1,
144,horlar,Eremophila alpestris,Horned Lark,Horned Lark,landbird,Passeriformes,Alaudidae,9,1,
145,houfin,Haemorhous mexicanus,House Finch,House Finch,landbird,Passeriformes,Fringillidae,6,1,
146,houspa,Passer domesticus,House Sparrow,House Sparrow,landbird,Passeriformes,Passeridae,9,1,
147,houwre,Troglodytes aedon,House Wren,House Wren,landbird,Passeriformes,Troglodytidae,5,1,
149,indbun,Passerina cyanea,Indigo Bunting,Indigo Bunting,landbird,Passeriformes,Cardinalidae,10,1,
150,kenwar,Geothlypis formosa,Kentucky Warbler,Kentucky Warbler,landbird,Passeriformes,Parulidae,14,1,
153,laplon,Calcarius lapponicus,Lapland Longspur,Lapland Longspur,landbird,Passeriformes,Calcariidae,10,1,
157,leafly,Empidonax minimus,Least Flycatcher,Least Flycatcher,landbird,Passeriformes,Tyrannidae,11,1,
164,linspa,Melospiza lincolnii,Lincoln's Sparrow,Lincoln's Sparrow,landbird,Passeriformes,Passerellidae,7,1,
168,logshr,Lanius ludovicianus,Loggerhead Shrike,Loggerhead Shrike,landbird,Passeriformes,Laniidae,11,1,
170,louwat,Parkesia motacilla,Louisiana Waterthrush,Louisiana Waterthrush,landbird,Passeriformes,Parulidae,11,2,
171,magwar,Setophaga magnolia,Magnolia Warbler,Magnolia Warbler,landbird,Passeriformes,Parulidae,9,1,
174,marwre,Cistothorus palustris,Marsh Wren,Marsh Wren,landbird,Passeriformes,Troglodytidae,7,2,
179,mouwar,Geothlypis philadelphia,Mourning Warbler,Mourning Warbler,landbird,Passeriformes,Parulidae,12,1,
181,naswar,Leiothlypis ruficapilla,Nashville Warbler,Nashville Warbler,landbird,Passeriformes,Parulidae,11,1,
184,norcar,Cardinalis cardinalis,Northern Cardinal,Northern Cardinal,landbird,Passeriformes,Cardinalidae,6,1,
187,normoc,Mimus polyglottos,Northern Mockingbird,Northern Mockingbird,landbird,Passeriformes,Mimidae,9,1,
188,norpar,Setophaga americana,Northern Parula,Northern Parula,landbird,Passeriformes,Parulidae,9,1,
191,norshr4,Lanius borealis,Northern Shrike,Northern Shrike,landbird,Passeriformes,Laniidae,13,1,
192,norwat,Parkesia noveboracensis,Northern Waterthrush,Northern Waterthrush,landbird,Passeriformes,Parulidae,8,2,
193,nrwswa,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Northern Rough-winged Swallow,landbird,Passeriformes,Hirundinidae,9,2,
195,olsfly,Contopus cooperi,Olive-sided Flycatcher,Olive-sided Flycatcher,landbird,Passeriformes,Tyrannidae,13,1,
196,orcori,Icterus spurius,Orchard Oriole,Orchard Oriole,landbird,Passeriformes,Icteridae,10,1,
197,orcwar,Leiothlypis celata,Orange-crowned Warbler,Orange-crowned Warbler,landbird,Passeriformes,Parulidae,8,1,
199,ovenbi1,Seiurus aurocapilla,Ovenbird,Ovenbird,landbird,Passeriformes,Parulidae,9,1,
201,palwar,Setophaga palmarum,Palm Warbler,Palm Warbler,landbird,Passeriformes,Parulidae,10,1,
204,phivir,Vireo philadelphicus,Philadelphia Vireo,Philadelphia Vireo,landbird,Passeriformes,Vireonidae,9,1,
207,pingro,Pinicola enucleator,Pine Grosbeak,Pine Grosbeak,landbird,Passeriformes,Fringillidae,12,1,
