"","X.1","X","species_code","scientific_name","common_name.x","common_name.y","group","order","family","CCS.max","habitat_score","habitat_comment","English","bodymass","mass_comments","log_bodymass","predicted_defecation_rate","log_predicted_defecation_rate"
"33",33,160,"lessca","Aythya affinis","Lesser Scaup","Lesser Scaup","waterfowl","Anseriformes","Anatidae",9,4,"","Lesser Scaup",819.45,"",6.70863338350984,26.3963927455193,3.27322736238909
"34",34,169,"lotduc","Clangula hyemalis","Long-tailed Duck","Long-tailed Duck","waterfowl","Anseriformes","Anatidae",13,4,"","Long-tailed Duck",871,"",6.7696419768525,27.7564401014498,3.32346788899496
"35",35,172,"mallar3","Anas platyrhynchos","Mallard","Mallard","waterfowl","Anseriformes","Anatidae",7,4,"","Mallard",843.42,"",6.73746505457173,27.0306179016566,3.29697021987379
"36",36,177,"motduc","Anas fulvigula","Mottled Duck","Mottled Duck","waterfowl","Anseriformes","Anatidae",17,4,"","Mottled Duck",843.42,"",6.73746505457173,27.0306179016566,3.29697021987379
"37",37,180,"mutswa","Cygnus olor","Mute Swan","Mute Swan","waterfowl","Anseriformes","Anatidae",8,4,"","Mute Swan",10682.04,"",9.27631910550982,218.702957262148,5.38771444959472
"38",38,189,"norpin","Anas acuta","Northern Pintail","Northern Pintail","waterfowl","Anseriformes","Anatidae",13,4,"","Northern Pintail",944.62,"",6.85078273022115,29.6744745311221,3.39028723287887
"39",39,190,"norsho","Spatula clypeata","Northern Shoveler","Northern Shoveler","waterfowl","Anseriformes","Anatidae",7,4,"",NA,612.56,"",6.41764689680487,20.7718816651977,3.03360022912383
"40",40,217,"rebmer","Mergus serrator","Red-breasted Merganser","Red-breasted Merganser","waterfowl","Anseriformes","Anatidae",9,5,"","Red-breasted Merganser",1015.17,"",6.92281136513612,31.4878814106218,3.44960275468585
"41",41,222,"redhea","Aythya americana","Redhead","Redhead","waterfowl","Anseriformes","Anatidae",8,4,"","Redhead",1075.69,"",6.98071759512255,33.025780627843,3.49728848761103
"42",42,232,"rinduc","Aythya collaris","Ring-necked Duck","Ring-necked Duck","waterfowl","Anseriformes","Anatidae",8,4,"","Ring-necked Duck",704.55,"",6.55755930114111,23.3084971677545,3.14881797940148
"43",43,238,"rosgoo","Anser rossii","Ross's Goose","Ross's Goose","waterfowl","Anseriformes","Anatidae",12,4,"",NA,1635.99,"",7.40000340467457,46.6451990651683,3.84257000806741
"44",44,243,"rudduc","Oxyura jamaicensis","Ruddy Duck","Ruddy Duck","waterfowl","Anseriformes","Anatidae",8,5,"Needs space to take off","Ruddy Duck",608.15,"",6.41042156206445,20.6486547475535,3.02765017188807
"45",45,260,"snogoo","Anser caerulescens","Snow Goose","Snow Goose","waterfowl","Anseriformes","Anatidae",10,4,"",NA,2636.15,"",7.87707479840401,69.0919281369719,4.23543790972414
"46",46,270,"sursco","Melanitta perspicillata","Surf Scoter","Surf Scoter","waterfowl","Anseriformes","Anatidae",11,4,"","Surf Scoter",1096.33,"",6.9997235170785,33.546745316168,3.51293984876164
"47",47,278,"truswa","Cygnus buccinator","Trumpeter Swan","Trumpeter Swan","waterfowl","Anseriformes","Anatidae",11,4,"","Trumpeter Swan",11071.13,"",9.31209609818055,225.24231397999,5.41717677373087
"48",48,280,"tunswa","Cygnus columbianus","Tundra Swan","Tundra Swan","waterfowl","Anseriformes","Anatidae",11,4,"","Tundra Swan",6377.96,"",8.76060357599185,143.025528283849,4.96302313379468
"49",49,298,"whwsco2","Melanitta deglandi","White-winged Scoter","White-winged Scoter","waterfowl","Anseriformes","Anatidae",12,4,"",NA,1800.17,"",7.4956363838691,50.4672034180343,3.92132368803894
"50",50,307,"wooduc","Aix sponsa","Wood Duck","Wood Duck","waterfowl","Anseriformes","Anatidae",7,4,"","Wood Duck",657.59,"",6.48858163681369,22.0214048784866,3.09201492937232
"51",51,76,"chiswi","Chaetura pelagica","Chimney Swift","Chimney Swift","landbird","Apodiformes","Apodidae",13,1,"","Chimney Swift",23.6,"",3.16124671203156,1.42184787549222,0.351957346398317
"52",52,241,"rthhum","Archilochus colubris","Ruby-throated Hummingbird","Ruby-throated Hummingbird","landbird","Apodiformes","Trochilidae",8,1,"","Ruby-throated Hummingbird",3.09,"",1.12817109090965,0.266527257520165,-1.32227876098106
"53",53,78,"chwwid","Antrostomus carolinensis","Chuck-will's-widow","Chuck-will's-widow","landbird","Caprimulgiformes","Caprimulgidae",12,1,"",NA,109,"",4.69134788222914,5.0127988196823,1.611994405755
"54",54,88,"comnig","Chordeiles minor","Common Nighthawk","Common Nighthawk","landbird","Caprimulgiformes","Caprimulgidae",11,1,"","Common Nighthawk",79.3,"",4.3732381286408,3.85754621000381,1.3500312844456
"55",55,104,"easwpw1","Antrostomus vociferus","Eastern Whip-poor-will","Eastern Whip-poor-will","landbird","Caprimulgiformes","Caprimulgidae",14,1,"",NA,53.3,"",3.9759363311718,2.78111959854873,1.02285357991817
"56",56,38,"blkvul","Coragyps atratus","Black Vulture","Black Vulture","landbird","Cathartiformes","Cathartidae",5,1,"","Black Vulture",1881.69,"",7.53992558819307,52.3418274511597,3.95779581149363
"57",57,281,"turvul","Cathartes aura","Turkey Vulture","Turkey Vulture","landbird","Cathartiformes","Cathartidae",6,1,"","Turkey Vulture",1518.24,"",7.32530704822545,43.8624069613581,3.78105761976392
