"","X.2","X.1","X","species_code","scientific_name","common_name.x","common_name.y","group","order","family","CCS.max","habitat_score","habitat_comment","English","bodymass","mass_comments","log_bodymass","predicted_defecation_rate","log_predicted_defecation_rate","log_predicted_axiallength","predicted_axiallength"
"1",1,1,19,"baleag","Haliaeetus leucocephalus","Bald Eagle","Bald Eagle","landbird","Accipitriformes","Accipitridae",9,3,"","Bald Eagle",4700.58,"",8.45544118433979,111.243573649124,4.71172215442619,3.20335273753062,24.6149193692802
"2",2,2,54,"brwhaw","Buteo platypterus","Broad-winged Hawk","Broad-winged Hawk","landbird","Accipitriformes","Accipitridae",8,1,"","Broad-winged Hawk",453.65,"",6.11732597561564,16.2206674347041,2.78628619671269,2.68132506771022,14.6044323420008
"3",3,3,92,"coohaw","Accipiter cooperii","Cooper's Hawk","Cooper's Hawk","landbird","Accipitriformes","Accipitridae",7,1,"","Cooper's Hawk",429.67,"",6.06301747219289,15.5112131074165,2.74156318866347,2.66919968509971,14.4284172934934
"4",4,4,121,"goleag","Aquila chrysaetos","Golden Eagle","Golden Eagle","landbird","Accipitriformes","Accipitridae",10,1,"Fishing rare","Golden Eagle",4247.97,"",8.35419650074994,102.344772952969,4.62834724048532,3.18074798047721,24.0647467827153
"5",5,5,176,"miskit","Ictinia mississippiensis","Mississippi Kite","Mississippi Kite","landbird","Accipitriformes","Accipitridae",9,1,"","Mississippi Kite",276.03,"",5.62050955546238,10.7742419622309,2.37715828198193,2.57040156951243,13.0710723313107
"6",6,6,186,"norhar2","Circus hudsonius","Northern Harrier","Northern Harrier","landbird","Accipitriformes","Accipitridae",11,1,"",NA,392.98,"",5.97375871998905,14.411963775594,2.66805867939351,2.64927100996421,14.1437242522388
"7",7,7,198,"osprey","Pandion haliaetus","Osprey","Osprey","landbird","Accipitriformes","Pandionidae",7,3,"","Osprey",1483.2,"",7.30195719481159,43.0270520196512,3.76182903461866,2.94581600153842,19.0261814471497
"8",8,8,227,"reshaw","Buteo lineatus","Red-shouldered Hawk","Red-shouldered Hawk","landbird","Accipitriformes","Accipitridae",8,1,"","Red-shouldered Hawk",603.72,"",6.40311051429123,20.5247100802972,3.02162953004005,2.74513177673758,15.5666651213768
"9",9,9,228,"rethaw","Buteo jamaicensis","Red-tailed Hawk","Red-tailed Hawk","landbird","Accipitriformes","Accipitridae",7,1,"","Red-tailed Hawk",1101.16,"",7.00411944859855,33.6684061535229,3.51655989476483,2.87931818994213,17.8021313686595
"10",10,10,237,"rolhaw","Buteo lagopus","Rough-legged Hawk","Rough-legged Hawk","landbird","Accipitriformes","Accipitridae",9,1,"","Rough-legged Hawk",949.76,"",6.85620932109891,29.8073803624767,3.39475602601826,2.84629450534636,17.2238405975144
"11",11,11,257,"shshaw","Accipiter striatus","Sharp-shinned Hawk","Sharp-shinned Hawk","landbird","Accipitriformes","Accipitridae",9,1,"","Sharp-shinned Hawk",130.59,"",4.87206264423232,5.81716403703013,1.76081286412362,2.40329688810244,11.0595785336419
"12",12,12,274,"swtkit","Elanoides forficatus","Swallow-tailed Kite","Swallow-tailed Kite","landbird","Accipitriformes","Accipitridae",10,1,"","American Swallow-tailed Kite",416.24,"",6.03126201698205,15.1108434795203,2.71541259732889,2.6621096896085,14.3264816685062
"13",13,13,3,"ambduc","Anas rubripes","American Black Duck","American Black Duck","waterfowl","Anseriformes","Anatidae",12,4,"Tolerant of vegetation but possibly high collision risk due to habitat use.","American Black Duck",1240.96,"",7.12364055261423,37.1508044838062,3.61498542594427,2.90600349748851,18.2835819780342
"14",14,14,12,"amewig","Mareca americana","American Wigeon","American Wigeon","waterfowl","Anseriformes","Anatidae",10,4,"",NA,754.61,"",6.62620105949647,24.6639931077488,3.20534441113801,2.79494088667276,16.3616615323173
"15",15,15,22,"bargol","Bucephala islandica","Barrow's Goldeneye","Barrow's Goldeneye","waterfowl","Anseriformes","Anatidae",13,5,"""Prefers open water without emergent or dense submerged vegetation.""","Barrow's Goldeneye",921.21,"",6.8256880232936,29.0675305422501,3.36962176229544,2.83948005843042,17.1068686522785
"16",16,16,25,"bbwduc","Dendrocygna autumnalis","Black-bellied Whistling-Duck","Black-bellied Whistling-Duck","waterfowl","Anseriformes","Anatidae",8,4,"","Black-bellied Whistling-duck",755.3,"",6.6271150213194,24.6825633710798,3.20609705794998,2.79514494563399,16.3650006166471
"17",17,17,36,"blksco2","Melanitta americana","Black Scoter","Black Scoter","waterfowl","Anseriformes","Anatidae",13,5,"""Feeds in open water; usually avoids dense aquatic vegetation which is rare in its breeding areas.""",NA,1049.98,"",6.95652639535111,32.3743698076666,3.47736705442999,2.86869215637727,17.6139668151497
"18",18,18,47,"brant","Branta bernicla","Brant","Brant","waterfowl","Anseriformes","Anatidae",13,4,"","Brent Goose",1277.91,"",7.15298120992249,38.0593747294842,3.63914743318561,2.9125543444735,18.4037480910898
"19",19,19,58,"buffle","Bucephala albeola","Bufflehead","Bufflehead","waterfowl","Anseriformes","Anatidae",8,4,"","Bufflehead",397.46,"",5.98509430010014,14.5471270472349,2.67739352032264,2.65180188887444,14.1795656416379
