scientific_name,Order,Axial_length_mm,transverse_diameter_mm,brain_vol_ml,body_mass_g,habitat_openness,migration,food_type,foraging_habitat,activity_pattern
Lamprotornis_superbus,Passeriformes,10,12.3,1.72,64.9,So,Se,An,Te,D
Lanius_collaris,Passeriformes,8.5,10.9,1.07,36.44,Op,Se,An,In,D
Lanius_collurio,Passeriformes,9,11,0.96,28.44,Op,Mi,An,In,D
Lanius_cristatus,Passeriformes,9.3,11.9,1.05,32.18,Op,Mi,An,In,D
Lanius_excubitor,Passeriformes,8.78,10.04,1.43,63.41,Op,Mi,An,In,D
Lanius_ludovicianus,Passeriformes,11.2,13.05,1.53,51.59,Op,Mi,An,In,D
Lanius_senator,Passeriformes,9,11.4,1.07,35.97,So,Mi,An,In,D
Lanius_tigrinus,Passeriformes,9.9,11.8,1.1,30.14,So,Mi,An,In,D
Lanius_vittatus,Passeriformes,9,10.4,0.82,20.8,So,Pm,An,In,D
Larus_argentatus,Charadriiformes,18.7,NA,6.69,1090.99,Op,Pm,An,Ge,D
Larus_canus,Charadriiformes,17.4,NA,4.07,412.53,Op,Mi,An,Te,D
Larus_delawarensis,Charadriiformes,17.23,NA,4.44,516.31,Op,Pm,An,Te,D
Larus_marinus,Charadriiformes,19.8,NA,8.2,1649.71,Op,Pm,Om,Te,D
Larus_philadelphia,Charadriiformes,12.25,NA,2.26,210.71,Op,Pm,An,Ae,D
Larus_ridibundus,Charadriiformes,11.5,NA,3.05,284,Op,Pm,An,Ge,D
Lathamus_discolor,Psittaciformes,8.05,9.73,2.37,64.7,So,Mi,Pl,In,D
Legatus_leucophaius,Passeriformes,7.9,9.75,0.66,22.2,De,Se,Pl,In,D
Leiothrix_argentauris,Passeriformes,8,9.5,0.94,28.4,De,Se,An,In,D
Leiothrix_lutea,Passeriformes,8.3,9.5,0.92,21.39,De,Se,An,In,D
Lepidothrix_coronata,Passeriformes,6,7.3,0.36,8.34,De,Se,Pl,In,D
Leptosomus_discolor,Leptosomiformes,18.9,22.61,4.11,255,De,Se,An,In,D
Leptotila_cassini,Columbiformes,10.5,13.35,1.3,159,De,Se,Pl,Te,D
Leptotila_rufaxilla,Columbiformes,9.8,13.15,1.27,157,De,Se,Pl,Te,D
Leptotila_verreauxi,Columbiformes,11.6,13.73,1.42,146.88,De,Se,Pl,Te,D
Lessonia_rufa,Passeriformes,6.7,7.8,0.43,13.4,Op,Mi,An,Te,D
Lichenostomus_ornatus,Passeriformes,6.5,7.95,0.75,17.63,So,Se,Om,In,D
