scientific_name,Order,Axial_length_mm,transverse_diameter_mm,brain_vol_ml,body_mass_g,habitat_openness,migration,food_type,foraging_habitat,activity_pattern
Panurus_biarmicus,Passeriformes,5.1,6.9,0.55,13.82,Op,Pm,Om,In,D
Pardalotus_striatus,Passeriformes,5.8,7,0.52,11.44,So,Se,An,In,D
Paroaria_dominicana,Passeriformes,7,8.8,1.12,33.2,So,Se,Om,Te,D
Parotia_lawesii,Passeriformes,13.9,16.35,4.01,161.4,De,Se,Om,In,D
Parus_atricapillus,Passeriformes,6.3,7.1,0.76,10.8,De,Se,Om,In,D
Parus_caeruleus,Passeriformes,5.3,6.5,0.67,11.1,De,Se,Om,In,D
Parus_gambeli,Passeriformes,6,7.3,0.75,11.19,De,Se,Om,In,D
Parus_major,Passeriformes,6.6,NA,0.83,16.25,So,Se,Om,In,D
Parus_palustris,Passeriformes,6,6.85,0.56,11.14,De,Se,Om,In,D
Passer_domesticus,Passeriformes,5.54,6.13,0.97,26.51,Op,Se,Pl,Te,D
Passer_griseus,Passeriformes,7.2,8.5,0.94,27.82,Op,Se,Pl,Te,D
Passer_hispaniolensis,Passeriformes,6.3,7.5,0.97,24.2,So,Se,Pl,Te,D
Passer_rutilans,Passeriformes,6.3,7.33,0.66,18.46,So,Se,Pl,Te,D
Passerculus_sandwichensis,Passeriformes,6.5,7.55,0.68,19.97,Op,Mi,Om,Ge,D
Passerina_cyanea,Passeriformes,6.2,7.39,0.65,14.69,So,Mi,Pl,Te,D
Patagioenas_cayennensis,Columbiformes,11.35,14.68,1.76,229,Op,Se,Pl,In,D
Patagioenas_leucocephala,Columbiformes,10.3,14.05,1.74,240.14,So,Se,Pl,In,D
Pavo_cristatus,Galliformes,17.5,22.3,6.86,4154.81,So,Se,Om,Te,D
Pavo_muticus,Galliformes,20.8,23.45,6.27,2205.71,So,Se,An,Te,D
Pedionomus_torquatus,Charadriiformes,8.5,10.73,0.77,62.52,Op,Se,Om,Te,D
Pelargopsis_capensis,Coraciiformes,14.3,16.6,2.82,178.68,So,Pm,An,In,D
Pelecanus_occidentalis,Pelecaniformes,19.52,NA,19.68,3427.84,Op,Se,An,Ae,D
Penelopides_panini,Bucerotiformes,16.8,20.55,6.88,470.54,De,Se,Pl,In,D
Peneothello_cyanus,Passeriformes,10.1,12.25,0.96,24.98,De,Se,An,In,D
Pericrocotus_solaris,Passeriformes,9.3,10.55,0.73,14.5,So,Se,An,In,D
Perisoreus_canadensis,Passeriformes,12.6,14.15,2.53,71.58,De,Se,Om,In,D
Perissocephalus_tricolor,Passeriformes,17.4,21.08,4.7,338.88,De,Se,Pl,In,D
Pernis_apivorus,Accipitriformes,21.5,NA,6.95,754.37,De,Mi,An,In,D
Petrochelidon_pyrrhonota,Passeriformes,8.6,9.55,0.49,21.6,Op,Mi,An,Ae,D
Petroica_multicolor,Passeriformes,7.3,8.7,0.52,11.36,De,Se,An,In,D
Petroica_phoenicea,Passeriformes,6.9,8.7,0.49,13,So,Mi,An,In,D
Petroica_rosea,Passeriformes,6.7,8.35,0.43,8.2,De,Mi,An,In,D
Pezoporus_wallicus,Psittaciformes,11,12.6,2.66,71.21,So,Se,Pl,Ge,D
Phacellodomus_ruber,Passeriformes,7,8.2,1.11,41,So,Se,An,Ge,D
Phaenicophaeus_chlorophaeus,Cuculiformes,8.3,10.8,1.25,51.21,So,Se,An,In,D
Phaenicophaeus_curvirostris,Cuculiformes,15.8,18.4,2.92,154,De,Se,An,In,D
Phaenicophaeus_superciliosus,Cuculiformes,12.4,15.25,2.51,123,So,Se,An,In,D
Phaenicophaeus_tristis,Cuculiformes,13.5,15.98,2.3,117,De,Se,An,In,D
Phaenicophilus_palmarum,Passeriformes,8,9.85,1.13,30.5,So,Se,An,In,D
Phaenostictus_mcleannani,Passeriformes,8.9,10.95,1.07,51.1,De,Se,An,In,D
Phaeomyias_murina,Passeriformes,7.1,8.1,0.37,10,So,Se,Om,In,D
Phaeothlypis_fulvicauda,Passeriformes,6.5,8.4,0.56,14.9,De,Se,An,Te,D
Phaethornis_superciliosus,Caprimulgiformes,4.5,5.85,0.26,6.3,De,Se,Pl,Ae,D
Phainopepla_nitens,Passeriformes,7.7,8.88,0.79,22.1,So,Se,Om,In,D
Phalacrocorax_carbo,Suliformes,15,NA,10.45,2528.97,Op,Pm,An,Aq,D
Phalaenoptilus_nuttallii,Caprimulgiformes,10.8,NA,0.53,48.33,Op,Pm,An,Ge,N
Phalaropus_fulicarius,Charadriiformes,6.95,NA,0.56,55.59,Op,Mi,An,Te,D
Phalaropus_lobatus,Charadriiformes,6,NA,0.45,36.68,Op,Mi,An,Te,D
Pharomachrus_mocinno,Trogoniformes,11.82,13.01,2.34,202.46,De,Se,Pl,In,D
Phasianus_colchicus,Galliformes,10.8,13.71,3.86,1120.31,So,Se,Pl,Te,D
Pheucticus_ludovicianus,Passeriformes,9.15,10.9,1.32,42,So,Mi,Pl,In,D
Phigys_solitarius,Psittaciformes,8.2,10.2,2.75,83.26,De,Se,Pl,In,D
Philemon_citreogularis,Passeriformes,9,11.15,1.58,60.56,So,Pm,Pl,In,D
Philemon_corniculatus,Passeriformes,10.5,12.35,1.98,100.71,So,Se,Om,In,D
Philomachus_pugnax,Charadriiformes,10.1,NA,1.56,131.68,Op,Mi,An,Te,D
Phleocryptes_melanops,Passeriformes,6.8,7.8,0.69,14.6,So,Se,An,In,D
Phoenicopterus_ruber,Phoenicopteriformes,14,NA,10.8,3031.59,Op,Se,An,Te,D
Phoeniculus_purpureus,Bucerotiformes,8.83,10.6,1.95,73.21,So,Se,An,In,D
Phoenicurus_phoenicurus,Passeriformes,7.6,8.9,0.51,14.59,De,Mi,An,In,D
Phylidonyris_niger,Passeriformes,6.8,8.25,0.8,18.2,So,Pm,Pl,In,D
Phylidonyris_novaehollandiae,Passeriformes,6.1,8,0.9,20.21,So,Pm,Pl,In,D
Phylloscopus_collybita,Passeriformes,5.4,6.5,0.31,8.3,De,Mi,An,In,D
Phylloscopus_trochilus,Passeriformes,5.5,7.1,0.34,8.7,De,Mi,An,In,D
Phytotoma_rara,Passeriformes,8.58,10.41,1.16,47,So,Se,Pl,In,D
Phytotoma_rutila,Passeriformes,7.93,9.63,0.73,40.5,So,Se,Pl,In,D
Piaya_cayana,Cuculiformes,12.6,14.7,1.84,101.98,De,Se,An,In,D
Pica_pica,Passeriformes,14.8,16.2,4.67,217.48,Op,Se,Om,Te,D
Picoides_arcticus,Piciformes,8.8,11.55,3.15,69.24,De,Se,An,In,D
Picoides_pubescens,Piciformes,6.7,9.08,1.21,25.55,So,Se,An,In,D
Picoides_villosus,Piciformes,6.8,8.9,2.95,62.65,De,Se,An,In,D
Piculus_flavigula,Piciformes,8,9.85,1.63,55,De,Se,An,In,D
Picumnus_innominatus,Piciformes,5.2,6.8,0.55,10.2,De,Se,An,In,D
Picumnus_temminckii,Piciformes,5.1,6.55,0.6,11.5,So,Se,An,In,D
Picus_viridis,Piciformes,11.8,14.4,4.24,176,So,Se,An,Te,D
Pinicola_enucleator,Passeriformes,8.7,10.2,1.58,56.4,De,Pm,Pl,In,D
Pionites_melanocephalus,Psittaciformes,11.8,14.1,5.18,148.78,De,Se,Pl,In,D
Pionopsitta_pileata,Psittaciformes,9.8,11.55,2.77,119,De,Se,Pl,In,D
Pionus_menstruus,Psittaciformes,12.5,15.8,5.7,251,So,Se,Pl,In,D
Pipile_pipile,Galliformes,16.8,20.1,5.3,1816.59,De,Se,Pl,In,D
Pipilo_erythrophthalmus,Passeriformes,8.1,10.2,1.36,40.03,So,Pm,Pl,Ge,D
Pipilo_fuscus,Passeriformes,8.8,10.3,1.55,44.4,So,Se,Pl,Ge,D
Pipra_erythrocephala,Passeriformes,7.6,8.45,0.49,13.43,De,Se,Pl,In,D
Pipra_fasciicauda,Passeriformes,7.3,9.28,0.62,15.9,De,Se,Pl,In,D
Pipra_pipra,Passeriformes,7,8.55,0.5,11.11,De,Se,Om,In,D
Pitangus_sulphuratus,Passeriformes,9.55,11.9,1.35,62.85,Op,Se,An,In,D
Pithecophaga_jefferyi,Accipitriformes,19,NA,19.75,5175.32,De,Se,An,In,D
Pithys_albifrons,Passeriformes,7.5,8.7,0.62,19.47,De,Se,An,In,D
Pitohui_ferrugineus,Passeriformes,11.4,14.5,2.48,93.91,De,Se,Om,In,D
Pitta_brachyura,Passeriformes,11.4,13.8,1.39,55.5,De,Mi,An,Te,D
Pitta_guajana,Passeriformes,11.8,14.15,1.37,81.5,De,Se,An,Te,D
Pitta_maxima,Passeriformes,14.8,18.3,2.53,190,De,Se,An,Te,D
Pitta_sordida,Passeriformes,11.3,13.1,1.31,64.5,De,Mi,An,Te,D
Pitta_versicolor,Passeriformes,12,14.6,1.87,88.94,De,Se,An,Te,D
Platalea_leucorodia,Pelecaniformes,13.9,NA,10.42,1868,Op,Pm,An,Te,D
Platycercus_adscitus,Psittaciformes,9.6,10.9,3.06,111,So,Se,Pl,In,D
Platyrinchus_mystaceus,Passeriformes,7.77,9,0.4,9.7,De,Se,An,In,D
Platysteira_cyanea,Passeriformes,7.95,9.28,0.79,14.6,So,Se,An,In,D
Plectorhyncha_lanceolata,Passeriformes,7.3,9.2,1.09,40.56,So,Se,Pl,In,D
Plectrophenax_nivalis,Passeriformes,7.4,8.8,1.02,42.2,Op,Mi,Pl,Te,D
Plegadis_falcinellus,Pelecaniformes,11.4,NA,5.12,626.61,Op,Pm,An,Te,D
Ploceus_cucullatus,Passeriformes,8,9.7,1.37,36.08,Op,Se,Pl,In,D
Pluvialis_apricaria,Charadriiformes,15.4,NA,2.23,214,Op,Mi,An,Te,D
Pluvialis_dominica,Charadriiformes,11.8,NA,1.82,151.47,Op,Mi,An,Te,D
Pluvialis_squatarola,Charadriiformes,12.8,NA,2.56,250,Op,Mi,An,Te,D
Pluvianellus_socialis,Charadriiformes,8.8,NA,1.14,84.11,Op,Pm,An,Te,D
Pluvianus_aegyptius,Charadriiformes,9.8,12.3,1.28,82,Op,Pm,An,Te,D
Podager_nacunda,Caprimulgiformes,15.42,NA,1.29,159,So,Se,An,Ae,D
Podargus_strigoides,Caprimulgiformes,24.57,NA,4.86,308.03,De,Se,An,In,N
Podiceps_cristatus,Podicipediformes,13,NA,3.11,730.96,Op,Se,An,Aq,D
Poecilodryas_superciliosa,Passeriformes,8.6,10.15,0.92,19.8,So,Se,An,In,D
Poeoptera_lugubris,Passeriformes,7.1,8.9,0.99,38.79,De,Se,Pl,In,D
Poephila_acuticauda,Passeriformes,5.9,6.65,0.51,14,Op,Pm,Pl,Ge,D
Poephila_cincta,Passeriformes,5.8,7.15,0.47,14.9,So,Pm,Pl,Te,D
Pogoniulus_scolopaceus,Piciformes,7.13,8.42,0.44,14.07,De,Se,Om,In,D
Poicephalus_meyeri,Psittaciformes,10.7,12.85,4.41,117.47,So,Se,Pl,In,D
Poicephalus_senegalus,Psittaciformes,10.7,13.45,4.71,147,Op,Se,Pl,In,D
Polioptila_caerulea,Passeriformes,5.3,6.8,0.3,5.8,So,Mi,An,In,D
Polioptila_dumicola,Passeriformes,5.8,6.9,0.42,7,So,Se,An,In,D
Polyboroides_typus,Accipitriformes,16.4,NA,8,633.24,De,Se,An,In,D
Polytelis_alexandrae,Psittaciformes,8.65,10.83,2.58,103.69,Op,Pm,Pl,In,D
Pomatorhinus_ruficollis,Passeriformes,7.8,9.45,1.53,31.61,So,Se,An,Ge,D
Pomatostomus_temporalis,Passeriformes,8.3,9.68,1.9,74.99,So,Se,An,Ge,D
Poospiza_nigrorufa,Passeriformes,6.6,7.95,0.7,17.4,So,Se,Om,Ge,D
Prionops_plumatus,Passeriformes,9.35,11.15,1.16,33.78,So,Se,An,In,D
Priotelus_roseigaster,Trogoniformes,11.3,13.95,1.31,74.19,De,Se,An,In,D
Priotelus_temnurus,Trogoniformes,12,13.85,1.16,53.4,De,Se,Pl,In,D
Probosciger_aterrimus,Psittaciformes,17.6,21.05,20.5,841,So,Se,Pl,In,D
Procnias_nudicollis,Passeriformes,13.5,16.15,2.7,172.04,De,Se,Pl,In,D
Progne_subis,Passeriformes,9.2,11.38,1.03,53.79,So,Se,An,Ae,D
Prosopeia_tabuensis,Psittaciformes,13.1,15.1,5.3,232,De,Se,Pl,In,D
Prosthemadera_novaeseelandiae,Passeriformes,9.5,12.1,1.72,105.83,De,Se,Pl,In,D
Protonotaria_citrea,Passeriformes,6.2,7.6,0.59,14.3,De,Mi,An,In,D
Prunella_modularis,Passeriformes,6.95,8.3,0.78,20.24,So,Se,Om,Te,D
Psaltriparus_minimus,Passeriformes,4.73,5.48,0.35,5.3,So,Se,An,In,D
Psarocolius_montezuma,Passeriformes,13.95,16.25,5.89,309.87,De,Se,An,In,D
Psephotus_haematonotus,Psittaciformes,7.7,9.53,1.97,61.39,So,Se,Pl,Te,D
Pseudeos_fuscata,Psittaciformes,8.8,12.35,4.2,149,So,Se,Pl,In,D
Psilopogon_pyrolophus,Piciformes,12,15.3,2.21,129,De,Se,Pl,In,D
Psittacella_brehmii,Psittaciformes,11,12.9,3.05,107,De,Se,Pl,In,D
Psittacula_krameri,Psittaciformes,9.8,11.8,3.9,116.11,So,Se,Pl,In,D
Psittacula_longicauda,Psittaciformes,10.3,12.45,3.75,107,De,Se,Pl,In,D
Psittacus_erithacus,Psittaciformes,13.2,15.9,9.18,333,De,Se,Pl,In,D
Psittrichas_fulgidus,Psittaciformes,13.9,17.5,7.8,864.99,De,Se,Pl,In,D
Psophia_crepitans,Gruiformes,17.2,21.88,5.85,1026,De,Se,Pl,Te,D
Psophia_leucoptera,Gruiformes,16.2,21.2,5.02,1315.58,De,Se,Pl,Te,D
Psophodes_cristatus,Passeriformes,7.85,9.35,1.4,40.71,So,Se,Om,Te,D
Psophodes_olivaceus,Passeriformes,10,11.6,2.18,62.36,De,Se,An,Ge,D
Pteridophora_alberti,Passeriformes,10.5,12.5,2.4,81.84,De,Pm,Pl,In,D
Pterocles_decoratus,Pterocliformes,10.3,13.25,1.31,181.34,Op,Pm,Pl,Te,D
Pterocles_lichtensteinii,Pterocliformes,10.5,13.45,1.13,209.1,Op,Se,Pl,Te,D
Pteroglossus_aracari,Piciformes,15.3,17.65,3.48,250.16,De,Se,Pl,In,D
Pteroglossus_bailloni,Piciformes,13,15.6,2.94,146,De,Se,Pl,In,D
Pteroglossus_torquatus,Piciformes,14.9,16.85,3.5,219.07,De,Se,Pl,In,D
Pteruthius_flaviscapis,Passeriformes,10.5,13.55,1.5,38.67,De,Se,An,In,D
Ptilinopus_jambu,Columbiformes,11.4,14.2,1.3,135,So,Se,Pl,In,D
Ptilinopus_rivoli,Columbiformes,10.8,13.5,1.45,149,So,Se,Pl,In,D
Ptilonorhynchus_violaceus,Passeriformes,14.7,17.28,4.72,218.91,De,Se,Om,In,D
Ptiloprora_guisei,Passeriformes,7.3,8.25,0.95,25.82,De,Se,An,In,D
Ptiloris_paradiseus,Passeriformes,10.5,12.25,2.78,119.49,De,Se,Om,In,D
Ptilorrhoa_caerulescens,Passeriformes,7.95,10,1.1,49,De,Se,An,Te,D
Puffinus_griseus,Procellariiformes,12.42,NA,5.31,787,Op,Mi,An,Ge,D
Pulsatrix_perspicillata,Strigiformes,32.8,NA,10.6,983.55,De,Se,An,In,N
Purpureicephalus_spurius,Psittaciformes,10.6,12.85,3.49,116,So,Se,Pl,In,D
Pycnonotus_barbatus,Passeriformes,8.3,9.85,1.16,32.1,So,Se,Pl,In,D
Pycnonotus_cafer,Passeriformes,8.6,10.05,1.18,42.85,So,Se,Pl,In,D
Pycnonotus_goiavier,Passeriformes,7.2,8.8,0.88,27.8,So,Se,Pl,In,D
Pycnonotus_jocosus,Passeriformes,8.1,9,0.93,29.47,So,Se,Pl,In,D
Pycnonotus_leucogenys,Passeriformes,7.9,9.45,0.79,35.94,So,Pm,Pl,In,D
Pycnoptilus_floccosus,Passeriformes,8.3,10.25,1.18,28.9,De,Se,An,Te,D
Pygochelidon_cyanoleuca,Passeriformes,6.7,7.88,0.43,9.7,Op,Pm,An,Ae,D
Pyriglena_leuconota,Passeriformes,8.4,10.3,0.93,32.3,De,Se,An,In,D
Pyrocephalus_rubinus,Passeriformes,7.4,8.98,0.46,14.4,Op,Mi,An,In,D
Pyroderus_scutatus,Passeriformes,17.2,21.8,4.3,357,De,Pm,Om,In,D
Pyrrhocorax_pyrrhocorax,Passeriformes,13.2,15.25,6.38,276.68,Op,Pm,An,Te,D
Pyrrholaemus_brunneus,Passeriformes,6.6,8.15,0.57,12.5,So,Se,Om,In,D
Pytilia_melba,Passeriformes,6.08,7.14,0.57,15.4,So,Se,Pl,Te,D
Pytilia_phoenicoptera,Passeriformes,5.9,6.95,0.36,14.5,So,Se,Pl,Te,D
Querula_purpurata,Passeriformes,13.4,15.4,2.13,107.35,De,Se,Om,In,D
Quiscalus_mexicanus,Passeriformes,10.6,12.6,2.96,160.47,Op,Se,Om,Te,D
Quiscalus_quiscula,Passeriformes,10.1,11.95,2.59,105.18,Op,Pm,An,Te,D
Ramphastos_dicolorus,Piciformes,15.8,19,4.53,331,De,Se,Pl,In,D
Ramphastos_sulfuratus,Piciformes,14.9,19.55,4.86,409.69,De,Se,Om,In,D
Ramphastos_toco,Piciformes,17.9,21.65,6.17,617.99,So,Se,Pl,In,D
Ramphastos_tucanus,Piciformes,16.1,19.25,5.98,659.58,De,Se,Pl,In,D
Ramphastos_vitellinus,Piciformes,15.9,18.45,4.81,360.36,De,Se,Om,In,D
Ramphocaenus_melanurus,Passeriformes,7,7.95,0.51,9.7,So,Se,An,In,D
Ramphocelus_carbo,Passeriformes,7.57,9.22,1.13,25.92,So,Se,Om,In,D
Ramsayornis_modestus,Passeriformes,5.4,6.5,0.51,12.1,So,Se,Om,In,D
Recurvirostra_americana,Charadriiformes,9.28,NA,2.1,304.48,Op,Pm,An,Te,D
Recurvirostra_avosetta,Charadriiformes,9.1,NA,1.83,304,Op,Pm,An,Te,D
Recurvirostra_novaehollandiae,Charadriiformes,10.7,NA,1.99,325,Op,Pm,An,Te,D
Regulus_calendula,Passeriformes,5.9,6.75,0.31,6.19,De,Mi,An,In,D
Regulus_ignicapilla,Passeriformes,5,6.25,0.35,5.6,De,Mi,An,In,D
Regulus_regulus,Passeriformes,4.6,5.95,0.35,5.54,De,Mi,An,In,D
Regulus_satrapa,Passeriformes,5.5,6.55,0.36,6.19,De,Mi,An,In,D
Reinwardtoena_reinwardtsi,Columbiformes,11,14.5,2,275,De,Se,Pl,In,D
Remiz_pendulinus,Passeriformes,4.8,6.15,0.43,9.3,So,Mi,Om,In,D
Rhagologus_leucostigma,Passeriformes,8.4,9.85,1.04,26.8,De,Se,Pl,In,D
Rhea_americana,Struthioniformes,27.94,33.59,18.88,23000,Op,Se,Om,Te,D
Rhea_pennata,Struthioniformes,14.4,18.23,18.53,23900,Op,Se,Pl,Te,D
Rhinocrypta_lanceolata,Passeriformes,9.5,11.5,1.4,61.9,So,Se,An,Te,D
Rhinopomastus_cyanomelas,Bucerotiformes,7.1,8.1,1.05,27.11,So,Se,An,In,D
Rhinopomastus_minor,Bucerotiformes,6.3,7.8,0.98,21.7,Op,Se,An,In,D
Rhinoptilus_chalcopterus,Charadriiformes,14.3,16.45,1.45,150,Op,Se,An,Te,D
Rhipidura_albicollis,Passeriformes,6.6,7.75,0.46,12.9,So,Se,An,In,D
Rhipidura_atra,Passeriformes,7,8.35,0.57,12.2,De,Se,An,In,D
Rhipidura_fuliginosa,Passeriformes,6,7,0.34,7.53,So,Se,An,In,D
Rhipidura_leucophrys,Passeriformes,7.8,9.9,0.58,27.44,Op,Se,An,In,D
Rhipidura_rufifrons,Passeriformes,6.2,7.4,0.36,10.08,So,Se,An,In,D
Rhipidura_rufiventris,Passeriformes,6.8,8.05,0.55,12,So,Se,An,In,D
Rhodinocichla_rosea,Passeriformes,8.9,10.9,1.35,48,De,Se,Pl,In,D
Rhodospingus_cruentus,Passeriformes,5.9,7.25,0.52,11.6,So,Se,Om,Ge,D
Rhyacornis_fuliginosa,Passeriformes,8,10,0.62,20.33,Op,Se,An,In,D
Rhynchopsitta_pachyrhyncha,Psittaciformes,11.3,13.85,11.2,324.77,De,Se,Pl,In,D
Rhynchotus_rufescens,Struthioniformes,13.4,19.4,3.66,843.47,Op,Se,Pl,Te,D
Rhynochetos_jubatus,Eurypygiformes,23.33,27.67,6.7,859.99,De,Se,An,Te,D
Riparia_riparia,Passeriformes,5.28,5.97,0.41,12.68,Op,Mi,An,Ae,D
Rollulus_rouloul,Galliformes,10.7,13.53,1.85,216.48,De,Se,Om,Te,D
Rostratula_benghalensis,Charadriiformes,10.2,NA,1.42,121,De,Pm,Om,Te,D
Rostrhamus_sociabilis,Accipitriformes,17.4,NA,5.09,366.94,So,Pm,An,In,D
Rupicola_peruvianus,Passeriformes,14.7,17.1,3.36,242.5,De,Se,Pl,In,D
Sagittarius_serpentarius,Accipitriformes,30.55,NA,15,4017,Op,Pm,An,Te,D
Salpinctes_obsoletus,Passeriformes,7.4,8.7,0.75,16.37,Op,Se,An,Te,D
Saltator_maximus,Passeriformes,9.1,10.95,1.39,47.62,So,Se,Pl,In,D
Sarcops_calvus,Passeriformes,10.8,14.05,2.8,142,De,Se,Om,In,D
Sarcoramphus_papa,Cathartiformes,27,NA,18.56,3400,Op,Se,Ca/Re,Te,D
Sasia_abnormis,Piciformes,5.8,7.15,0.58,9.2,De,Se,An,In,D
Saxicola_torquatus,Passeriformes,8.2,9.65,0.61,14.09,Op,Pm,An,In,D
Sayornis_nigricans,Passeriformes,7.7,8.9,0.49,18.63,So,Se,An,In,D
Sayornis_phoebe,Passeriformes,7.05,7.75,0.59,19.7,So,Mi,An,In,D
Sayornis_saya,Passeriformes,8.4,9.45,0.61,20.9,Op,Mi,An,In,D
Schiffornis_turdina,Passeriformes,9.95,12.15,1.07,31.7,De,Se,Om,In,D
Schistochlamys_melanopis,Passeriformes,8.7,9.85,1.22,33,So,Pm,Pl,In,D
Schoeniophylax_phryganophilus,Passeriformes,7.1,8.4,0.65,18.6,So,Se,An,In,D
Scissirostrum_dubium,Passeriformes,8.3,9.9,1.3,50,So,Pm,Pl,In,D
Scolopax_minor,Charadriiformes,11.7,NA,2.02,196.32,Op,Mi,An,Te,D
Scolopax_rusticola,Charadriiformes,11.53,NA,2.78,308.31,Op,Mi,An,Te,N
Scythrops_novaehollandiae,Cuculiformes,16.8,19.9,5.35,683.99,So,Mi,Om,In,D
Seiurus_aurocapilla,Passeriformes,7.3,9.15,0.7,18.8,De,Mi,An,Te,D
Seleucidis_melanoleucus,Passeriformes,12.4,14.15,3.41,174.43,De,Se,Pl,In,D
Semnornis_ramphastinus,Piciformes,10.3,13.9,1.91,97.7,De,Se,Om,In,D
Sericulus_chrysocephalus,Passeriformes,12,14.55,3.34,99.49,De,Se,Pl,In,D
Serinus_canaria,Passeriformes,6.3,7.15,0.68,24.3,So,Se,Pl,Ge,D
Serinus_mozambicus,Passeriformes,5.3,6.35,0.48,11.87,Op,Se,Pl,Ge,D
Serinus_serinus,Passeriformes,4.6,5.9,0.46,11.2,So,Pm,Pl,Ge,D
Setophaga_ruticilla,Passeriformes,6.18,7.29,0.36,8.24,De,Mi,An,In,D
Sicalis_flaveola,Passeriformes,6.7,7.4,0.7,16.89,So,Se,Pl,Te,D
Sitta_canadensis,Passeriformes,6.3,7.3,0.57,9.8,De,Mi,Om,In,D
Sitta_europaea,Passeriformes,7,8.75,1.02,20.37,De,Se,An,In,D
Sitta_pygmaea,Passeriformes,5.6,6.55,0.55,10.6,De,Se,Om,In,D
Sittasomus_griseicapillus,Passeriformes,6.4,8.05,0.55,13.12,De,Se,An,In,D
Smicrornis_brevirostris,Passeriformes,4.8,6.2,0.29,5.3,So,Se,An,In,D
Smithornis_capensis,Passeriformes,10,12,0.78,23.2,So,Se,An,In,D
Somateria_mollissima,Anseriformes,13.4,NA,8.32,2060.93,Op,Pm,An,Aq,D
Spermophaga_haematina,Passeriformes,7.35,8.95,0.88,23,De,Se,Pl,In,D
Sphecotheres_vieilloti,Passeriformes,11.3,13.8,2.24,121.5,So,Se,Pl,In,D
Spheniscus_humboldti,Sphenisciformes,20.5,NA,15.98,4366.39,Op,Pm,An,Aq,D
Spheniscus_magellanicus,Sphenisciformes,27.3,NA,13.49,4105.1,Op,Pm,An,Aq,D
Sphyrapicus_nuchalis,Piciformes,7.7,9.9,1.27,48.49,So,Mi,Om,In,D
Sphyrapicus_varius,Piciformes,8.37,10.18,1.3,50.3,De,Mi,Om,In,D
Spindalis_zena,Passeriformes,7,8.75,1.31,25.36,So,Se,Pl,In,D
Spiza_americana,Passeriformes,7,8.5,0.91,26.18,Op,Mi,Om,Te,D
Spizaetus_ornatus,Accipitriformes,24.1,NA,7.6,1197.4,De,Se,An,Ge,D
Spizella_arborea,Passeriformes,6,7,0.74,17.83,So,Mi,Om,Te,D
Stachyris_chrysaea,Passeriformes,5.2,6.25,0.43,9,De,Se,An,In,D
Stachyris_nigriceps,Passeriformes,6.4,7.65,0.76,15.8,De,Se,An,In,D
Steatornis_caripensis,Caprimulgiformes,15.47,NA,3.9,408,De,Se,Pl,In,N
Stelgidopteryx_ruficollis,Passeriformes,7.2,8.2,0.53,16.1,Op,Se,An,Ae,D
Stephanoaetus_coronatus,Accipitriformes,28.7,NA,14.06,3640,De,Se,An,Ge,D
Sterna_hirundo,Charadriiformes,13.7,NA,1.88,129.15,Op,Mi,An,Ae,D
Stigmatopelia_chinensis,Columbiformes,8.3,11.3,1.35,159,Op,Se,Pl,Te,D
Stigmatopelia_senegalensis,Columbiformes,8.3,11.5,1.24,82.13,Op,Se,Pl,Te,D
Stigmatura_budytoides,Passeriformes,6.8,7.6,0.53,11.08,So,Se,An,In,D
Stiltia_isabella,Charadriiformes,10.2,13.05,1.05,65.5,Op,Pm,An,Te,D
Stipiturus_malachurus,Passeriformes,5.3,6.35,0.4,7.3,Op,Se,An,Ge,D
Strepera_graculina,Passeriformes,15.3,19.45,5.34,298.86,So,Se,Om,Ge,D
Strepera_versicolor,Passeriformes,16.5,20,5.97,395.47,So,Se,An,Te,D
Streptopelia_decaocto,Columbiformes,9.3,12.25,1.52,148.96,Op,Se,Pl,Te,D
Streptopelia_turtur,Columbiformes,9.3,12.2,1.39,132,So,Mi,Pl,Te,D
Streptoprocne_zonaris,Caprimulgiformes,12.95,15.25,1.48,86.79,De,Pm,An,Ae,D
Strigops_habroptila,Psittaciformes,13.45,15.4,16.5,1732.05,So,Se,Pl,Ge,N
Strix_aluco,Strigiformes,24.96,NA,9.08,472.46,De,Se,An,In,N
Strix_nebulosa,Strigiformes,14,NA,14.66,1061.89,So,Se,An,In,N
Strix_uralensis,Strigiformes,25.6,NA,11.21,780.56,So,Se,An,In,N
Strix_varia,Strigiformes,28,NA,12.55,711.49,So,Se,An,In,N
Struthidea_cinerea,Passeriformes,11,12.48,2.98,132,So,Se,Om,Te,D
Struthio_camelus,Struthioniformes,38.93,47.79,40.23,111000,Op,Se,Pl,Te,D
Sturnella_magna,Passeriformes,8.75,9.88,2.22,91.76,Op,Pm,An,Te,D
Sturnella_militaris,Passeriformes,8,9.63,1.12,48.01,Op,Pm,An,Te,D
Sturnella_neglecta,Passeriformes,10.7,12.5,1.94,100.06,Op,Pm,Om,Te,D
Sturnus_contra,Passeriformes,8.9,10.55,1.77,83.99,Op,Se,Om,Ge,D
Sturnus_vulgaris,Passeriformes,6.97,7.79,1.97,77.14,Op,Pm,Om,In,D
Surnia_ulula,Strigiformes,20.5,NA,7.48,319.9,Op,Pm,An,In,D
Sylvia_atricapilla,Passeriformes,6.4,8.4,0.65,16.7,De,Mi,Om,In,D
Sylvia_borin,Passeriformes,7,8.45,0.62,18.2,De,Mi,Om,In,D
