X,species_code,scientific_name,common_name.x,group,order,family,Song_etal,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,VI,VI_scaled
1,acafly,Empidonax virescens,Acadian Flycatcher,landbird,Passeriformes,Tyrannidae,0,10,1,,12.6,0.848038299,7.769267084,1,2,3,4,7.5,0.048582995951417005
2,aldfly,Empidonax alnorum,Alder Flycatcher,landbird,Passeriformes,Tyrannidae,0,8,1,,12.7,0.85357696,6.148575017,1,1,2,5,6,0.03643724696356275
3,wooduc,Aix sponsa,Wood Duck,waterfowl,Anseriformes,Anatidae,0,7,4,,657.59,22.02140488,15.51365241,5,5,1,1,12,0.08502024291497975
4,ameavo,Recurvirostra americana,American Avocet,shorebird,Charadriiformes,Recurvirostridae,0,11,5,,304.48,11.68072599,9.210968905,3.5,3,4,3,65,0.5141700404858299
5,norpin,Anas acuta,Northern Pintail,waterfowl,Anseriformes,Anatidae,1,13,5,completely absent in FPV (Song et al. 2024),944.62,29.67447453,11.92746774,5,4,5,2,87.5,0.6963562753036437
6,amecro,Corvus brachyrhynchos,American Crow,landbird,Passeriformes,Corvidae,0,8,1,,448.76,16.07654403,9.19032702,4,3,1,3,3.5,0.016194331983805668
7,amegfi,Spinus tristis,American Goldfinch,landbird,Passeriformes,Fringillidae,0,8,1,,12.79,0.858555175,8.314409294,2,3,1,3,2.5,0.008097165991902834
8,amekes,Falco sparverius,American Kestrel,landbird,Falconiformes,Falconidae,0,10,1,,114.61,5.224314045,12.770207,3,4,3,2,7.5,0.048582995951417005
9,amepip,Anthus rubescens,American Pipit,landbird,Passeriformes,Motacillidae,0,9,2,hang out on shorelines but not as important for habitat as for other species.,20.68,1.275310722,9.178026175,1.888888889,3,3,3,14.666666667,0.10661268556275304
10,amered,Setophaga ruticilla,American Redstart,landbird,Passeriformes,Parulidae,0,9,1,,8.24,0.597759563,8.715143345,1,3,2,3,4,0.020242914979757085
11,amerob,Turdus migratorius,American Robin,landbird,Passeriformes,Turdidae,0,7,1,,78.5,3.82547029,10.6874045,3,3,1,3,3,0.012145748987854251
12,gnwtea,Anas crecca,Green-winged Teal,waterfowl,Anseriformes,Anatidae,0,9,4,,341.89,12.85033934,13.00470334,5,4,2,2,28,0.2145748987854251
13,amgplo,Pluvialis dominica,American Golden-Plover,shorebird,Charadriiformes,Charadriidae,0,15,5,Shorebirds strongly negatively affected in Song et al. 2024,151.47,6.572921009,8.764249745,3.222222222,3,5,3,77.777777775,0.6176338281376519
14,amtspa,Spizelloides arborea,American Tree Sparrow,landbird,Passeriformes,Passerellidae,0,12,1,,17.83,1.128712487,14.98974157,2,5,4,1,6,0.03643724696356275
15,mallar3,Anas platyrhynchos,Mallard,waterfowl,Anseriformes,Anatidae,1,7,1,Increased 1.88x (Song et al. 2024),843.42,27.0306179,12.79780377,5,4,1,2,3.5,0.016194331983805668
16,babwar,Setophaga castanea,Bay-breasted Warbler,landbird,Passeriformes,Parulidae,0,10,1,,11.8,0.803443199,7.642024308,1.470588235,2,3,4,8.2058823525,0.05429864253036437
17,baisan,Calidris bairdii,Baird's Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,13,5,Shorebirds strongly negatively affected in Song et al. 2024,40.97,2.239368804,5.308150395,3.535714286,1,5,5,106.696428575,0.8517929439271255
18,baleag,Haliaeetus leucocephalus,Bald Eagle,landbird,Accipitriformes,Accipitridae,0,9,3,,4700.58,111.2435736,9.350928191,3.6,3,3,3,29.7,0.22834008097165992
19,balori,Icterus galbula,Baltimore Oriole,landbird,Passeriformes,Icteridae,0,11,1,,32.83,1.865988889,6.285223499,3,1,4,5,16,0.11740890688259109
20,banswa,Riparia riparia,Bank Swallow,landbird,Passeriformes,Hirundinidae,0,11,2,"""Presently breeds primarily in lowland areas along ocean coasts, rivers, streams, lakes, reservoirs, and wetlands (Cramp 1988, Turner and Rose 1989a, Am. Ornithol. Union American Ornithologists' Union 1998a). """,12.68,0.852469845,9.237974843,1,3,4,3,16,0.11740890688259109
21,ambduc,Anas rubripes,American Black Duck,waterfowl,Anseriformes,Anatidae,0,12,1,"Tolerant of vegetation, similar to mallard which increased in Song et al. 2024.",1240.96,37.15080448,22.00681137,5,5,4,1,12,0.08502024291497975
22,barswa,Hirundo rustica,Barn Swallow,landbird,Passeriformes,Hirundinidae,0,9,2,,17.91,1.13288131,14.15911666,1,5,2,1,4,0.020242914979757085
23,bawwar,Mniotilta varia,Black-and-white Warbler,landbird,Passeriformes,Parulidae,0,9,1,,10.9,0.752629254,10.56938024,1,3,2,3,4,0.020242914979757085
24,snogoo,Anser caerulescens,Snow Goose,waterfowl,Anseriformes,Anatidae,0,10,4,,2636.15,69.09192814,8.133619072,5,2,3,4,54,0.4251012145748988
25,belkin1,Megaceryle alcyon,Belted Kingfisher,landbird,Coraciiformes,Alcedinidae,0,10,3,,148,6.448667249,8.212581792,3,2,3,4,31.5,0.242914979757085
26,bicthr,Catharus bicknelli,Bicknell's Thrush,landbird,Passeriformes,Turdidae,0,17,1,,27.79,1.626680494,6.141142038,2.642857143,1,5,5,19.1071428575,0.1425679583603239
27,bkbcuc,Coccyzus erythropthalmus,Black-billed Cuckoo,landbird,Cuculiformes,Cuculidae,0,12,1,,50.9,2.677576693,6.102075697,2,1,4,5,14,0.10121457489878542
28,bkbplo,Pluvialis squatarola,Black-bellied Plover,shorebird,Charadriiformes,Charadriidae,0,13,5,Shorebirds strongly negatively affected in Song et al. 2024,250,9.930311132,12.01517312,4,4,5,2,75,0.5951417004048583
29,bkbwar,Setophaga fusca,Blackburnian Warbler,landbird,Passeriformes,Parulidae,0,10,1,,9.74,0.686023061,6.304667346,1.470588235,1,3,5,9.7058823525,0.06644439151821863
30,bkbwoo,Picoides arcticus,Black-backed Woodpecker,landbird,Piciformes,Picidae,0,8,1,,69.24,3.449798699,15.15790339,2.454545455,5,2,1,3.454545455,0.01582627898785425
31,bkcchi,Poecile atricapillus,Black-capped Chickadee,landbird,Passeriformes,Paridae,0,7,1,,10.8,0.746938491,11.66235718,2,4,1,2,2,0.004048582995951417
32,bkpwar,Setophaga striata,Blackpoll Warbler,landbird,Passeriformes,Parulidae,0,11,1,,11.84,0.805685359,8.20511157,1,2,4,4,10,0.06882591093117409
33,rosgoo,Anser rossii,Ross's Goose,waterfowl,Anseriformes,Anatidae,0,12,4,,1635.99,46.64519907,10.07747873,5,3,4,3,64,0.5060728744939271
34,sancra,Antigone canadensis,Sandhill Crane,waterbird,Gruiformes,Gruidae,0,8,3,,4296.22,103.3011103,7.345577432,5,2,2,4,27,0.20647773279352227
35,blkvul,Coragyps atratus,Black Vulture,landbird,Cathartiformes,Cathartidae,0,5,1,,1881.69,52.34182745,11.66384916,4,4,1,2,3,0.012145748987854251
36,blugrb1,Passerina caerulea,Blue Grosbeak,landbird,Passeriformes,Cardinalidae,0,7,1,,27.39,1.607374538,6.573013719,2,1,1,5,3.5,0.016194331983805668
37,blujay,Cyanocitta cristata,Blue Jay,landbird,Passeriformes,Corvidae,0,8,1,,88,4.202823103,11.69048943,3,4,1,2,2.5,0.008097165991902834
38,bnhcow,Molothrus ater,Brown-headed Cowbird,landbird,Passeriformes,Icteridae,0,8,1,,40.26,2.207361477,6.954486434,3,2,1,4,3.5,0.016194331983805668
39,bnhnut,Sitta pusilla,Brown-headed Nuthatch,landbird,Passeriformes,Sittidae,0,13,1,,10.2,0.712594784,7.869507716,2,2,5,4,15,0.10931174089068826
40,boboli,Dolichonyx oryzivorus,Bobolink,landbird,Passeriformes,Icteridae,0,14,1,,31.46,1.801624591,7.020170813,3,2,5,4,17.5,0.12955465587044535
41,bohwax,Bombycilla garrulus,Bohemian Waxwing,landbird,Passeriformes,Bombycillidae,0,11,1,,54.41,2.82872828,10.01108958,3,3,4,3,12,0.08502024291497975
42,greegr,Ardea alba,Great Egret,waterbird,Pelecaniformes,Ardeidae,1,6,3,Remained mostly stable - increased 1.29x (Song et al. 2024),871.33,27.76509991,6.040560685,3,1,1,5,12,0.08502024291497975
43,botgra,Quiscalus major,Boat-tailed Grackle,landbird,Passeriformes,Icteridae,0,13,1,,151.21,6.563628475,5.969176669,3,1,5,5,20,0.14979757085020243
44,grbher3,Ardea herodias,Great Blue Heron,waterbird,Pelecaniformes,Ardeidae,0,8,3,,2523.41,66.64927126,9.973478154,4,3,2,3,21,0.15789473684210525
45,brdowl,Strix varia,Barred Owl,landbird,Strigiformes,Strigidae,0,7,1,,711.49,23.49740452,11.14611429,3,4,1,2,2.5,0.008097165991902834
46,brncre,Certhia americana,Brown Creeper,landbird,Passeriformes,Certhiidae,0,8,1,,8.1,0.58938339,6.018607343,1,1,2,5,6,0.03643724696356275
47,brnowl,Tyto alba,Barn Owl,landbird,Strigiformes,Tytonidae,0,8,1,,403.32,14.72352047,19.7133655,3,5,2,1,4,0.020242914979757085
48,lessca,Aythya affinis,Lesser Scaup,waterfowl,Anseriformes,Anatidae,0,9,4,,819.45,26.39639275,15.98772102,5,5,2,1,24,0.18218623481781376
49,brnthr,Toxostoma rufum,Brown Thrasher,landbird,Passeriformes,Mimidae,0,11,1,,68.8,3.431735418,8.064190755,3,2,4,4,14,0.10121457489878542
50,brwhaw,Buteo platypterus,Broad-winged Hawk,landbird,Accipitriformes,Accipitridae,0,8,1,,453.65,16.22066743,33.45377128,4,5,1,1,2.5,0.008097165991902834
51,btbwar,Setophaga caerulescens,Black-throated Blue Warbler,landbird,Passeriformes,Parulidae,0,10,1,,10.14,0.709141098,7.691523347,1,2,3,4,7.5,0.048582995951417005
52,btnwar,Setophaga virens,Black-throated Green Warbler,landbird,Passeriformes,Parulidae,0,11,1,,8.69,0.624515527,8.426362241,2,3,4,3,10,0.06882591093117409
53,bubsan,Calidris subruficollis,Buff-breasted Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,15,5,Shorebirds strongly negatively affected in Song et al. 2024,62.1,3.154065349,7.213733323,3.535714286,2,5,4,94.196428575,0.7505783690283401
54,redhea,Aythya americana,Redhead,waterfowl,Anseriformes,Anatidae,0,8,4,,1075.69,33.02578063,8.37431307,5,3,2,3,32,0.24696356275303644
55,buggna,Polioptila caerulea,Blue-gray Gnatcatcher,landbird,Passeriformes,Polioptilidae,0,8,1,,5.8,0.447655115,13.21984428,2,4,2,2,4,0.020242914979757085
56,buhvir,Vireo solitarius,Blue-headed Vireo,landbird,Passeriformes,Vireonidae,0,8,1,,15.3,0.995070031,11.00981344,2,4,1,2,2,0.004048582995951417
57,rinduc,Aythya collaris,Ring-necked Duck,waterfowl,Anseriformes,Anatidae,0,8,4,,704.55,23.30849717,11.91732195,5,4,1,2,14,0.10121457489878542
58,buwwar,Vermivora cyanoptera,Blue-winged Warbler,landbird,Passeriformes,Parulidae,0,14,1,,8.9,0.636917404,22.74741917,1.470588235,5,5,1,6.1764705875,0.037866158603238866
59,gresca,Aythya marila,Greater Scaup,waterfowl,Anseriformes,Anatidae,0,10,4,,1005.37,31.23734829,9.577922614,5,3,3,3,48,0.3765182186234818
60,camwar,Setophaga tigrina,Cape May Warbler,landbird,Passeriformes,Parulidae,0,11,1,,10.04,0.703376923,9.956351054,1,3,4,3,8,0.05263157894736842
61,canvas,Aythya valisineria,Canvasback,waterfowl,Anseriformes,Anatidae,0,10,4,,1202,36.18762063,8.244126707,5,2,3,4,54,0.4251012145748988
62,amebit,Botaurus lentiginosus,American Bittern,waterbird,Pelecaniformes,Ardeidae,0,12,3,,706,23.34799332,8.125513734,4,2,4,4,48,0.3765182186234818
63,canwar,Cardellina canadensis,Canada Warbler,landbird,Passeriformes,Parulidae,0,13,1,,10.04,0.703376923,13.70426137,1.470588235,4,5,2,8.6764705875,0.058109073582995954
64,carchi,Poecile carolinensis,Carolina Chickadee,landbird,Passeriformes,Paridae,0,9,1,,9.99,0.70049104,19.99562472,1.444444444,5,3,1,3.666666666,0.017543859643724694
65,carwre,Thryothorus ludovicianus,Carolina Wren,landbird,Passeriformes,Troglodytidae,0,7,1,,18.96,1.187298842,6.872878986,2,2,1,4,3,0.012145748987854251
66,brant,Branta bernicla,Brant,waterfowl,Anseriformes,Anatidae,0,13,4,,1277.91,38.05937473,13.08853487,5,4,5,2,70,0.5546558704453441
67,cangoo,Branta canadensis,Canada Goose,waterfowl,Anseriformes,Anatidae,0,6,4,,2811.68,72.85876559,11.32888925,5,4,1,2,14,0.10121457489878542
68,cedwax,Bombycilla cedrorum,Cedar Waxwing,landbird,Passeriformes,Bombycillidae,0,8,1,,31.58,1.807281823,17.45170801,2,5,1,1,1.5,0
69,cerwar,Setophaga cerulea,Cerulean Warbler,landbird,Passeriformes,Parulidae,0,14,1,,9.04,0.645156598,11.1298482,1.470588235,4,5,2,8.6764705875,0.058109073582995954
70,chispa,Spizella passerina,Chipping Sparrow,landbird,Passeriformes,Passerellidae,0,9,1,,12.2,0.825805278,6.975588938,1,2,2,4,5,0.02834008097165992
71,chiswi,Chaetura pelagica,Chimney Swift,landbird,Apodiformes,Apodidae,0,13,1,,23.6,1.421847875,10.73227893,2,3,5,3,12.5,0.08906882591093117
72,chswar,Setophaga pensylvanica,Chestnut-sided Warbler,landbird,Passeriformes,Parulidae,0,12,1,,9.29,0.659813765,12.34057208,2,4,4,2,8,0.05263157894736842
73,chwwid,Antrostomus carolinensis,Chuck-will's-widow,landbird,Caprimulgiformes,Caprimulgidae,0,12,1,,109,5.01279882,11.76255111,2,4,4,2,8,0.05263157894736842
74,clcspa,Spizella pallida,Clay-colored Sparrow,landbird,Passeriformes,Passerellidae,0,10,1,,11.2,0.76964669,12.81323642,2.416666667,4,3,2,6.6250000005,0.04149797571255061
75,cliswa,Petrochelidon pyrrhonota,Cliff Swallow,landbird,Passeriformes,Hirundinidae,0,5,2,,21.6,1.321851885,18.45422861,1.25,5,1,1,2.25,0.006072874493927126
76,cacgoo1,Branta hutchinsii,Cackling Goose,waterfowl,Anseriformes,Anatidae,0,10,4,,2811.68,72.85876559,14.46559166,5,5,3,1,36,0.2793522267206478
77,categr,Bubulcus ibis/coromandus,Western/Eastern Cattle Egret,waterbird,Pelecaniformes,Ardeidae,1,9,5,Eastern cattle egret completely absent in FPV (Song et al. 2024),365.95,13.59054696,31.77653636,3.4,5,3,1,33,0.2550607287449393
78,comgra,Quiscalus quiscula,Common Grackle,landbird,Passeriformes,Icteridae,0,10,1,,105.18,4.867674502,8.508124762,3,3,3,3,9,0.06072874493927125
79,buffle,Bucephala albeola,Bufflehead,waterfowl,Anseriformes,Anatidae,0,8,4,,397.46,14.54712705,17.73095333,5,5,1,1,12,0.08502024291497975
80,comgol,Bucephala clangula,Common Goldeneye,waterfowl,Anseriformes,Anatidae,0,9,4,,918.56,28.99865439,11.93646962,5,4,2,2,28,0.2145748987854251
81,comnig,Chordeiles minor,Common Nighthawk,landbird,Caprimulgiformes,Caprimulgidae,0,11,1,,79.3,3.85754621,11.66384916,2,4,4,2,8,0.05263157894736842
82,comrav,Corvus corax,Common Raven,landbird,Passeriformes,Corvidae,0,6,1,,927.97,29.24307165,10.05751318,4,3,1,3,3.5,0.016194331983805668
83,comred,Acanthis flammea,Common Redpoll,landbird,Passeriformes,Fringillidae,0,9,1,,13,0.870147069,13.96872365,2.125,4,3,2,6.1875,0.03795546558704453
84,comyel,Geothlypis trichas,Common Yellowthroat,landbird,Passeriformes,Parulidae,0,9,2,,9.54,0.67440147,16.19271501,2,5,2,1,6,0.03643724696356275
85,coohaw,Accipiter cooperii,Cooper's Hawk,landbird,Accipitriformes,Accipitridae,0,7,1,,429.67,15.51121311,18.13512423,4,5,1,1,2.5,0.008097165991902834
86,daejun,Junco hyemalis,Dark-eyed Junco,landbird,Passeriformes,Passerellidae,0,9,1,,19.5,1.215076634,19.83101686,2,5,2,1,3,0.012145748987854251
87,dickci,Spiza americana,Dickcissel,landbird,Passeriformes,Cardinalidae,0,10,1,,26.18,1.548667065,9.249221875,2,3,3,3,7.5,0.048582995951417005
88,bargol,Bucephala islandica,Barrow's Goldeneye,waterfowl,Anseriformes,Anatidae,0,13,5,"""Prefers open water without emergent or dense submerged vegetation.""",921.21,29.06753054,10.27684834,5,3,5,3,100,0.7975708502024291
89,dowwoo,Dryobates pubescens,Downy Woodpecker,landbird,Piciformes,Picidae,0,8,1,,25.55,1.517911602,6.017030586,2,1,2,5,7,0.044534412955465584
90,dunlin,Calidris alpina,Dunlin,shorebird,Charadriiformes,Scolopacidae,1,12,5,completely absent in FPV (Song et al. 2024),51.89,2.720390323,11.12705897,3,4,4,2,50,0.39271255060728744
91,easblu,Sialia sialis,Eastern Bluebird,landbird,Passeriformes,Turdidae,0,7,1,,27.5,1.612688607,9.518001008,2,3,1,3,2.5,0.008097165991902834
92,easkin,Tyrannus tyrannus,Eastern Kingbird,landbird,Passeriformes,Tyrannidae,0,11,2,,39.85,2.188833055,7.207102753,1,2,4,4,20,0.14979757085020243
93,easmea,Sturnella magna,Eastern Meadowlark,landbird,Passeriformes,Icteridae,0,11,1,,91.76,4.350154628,8.973032341,4,3,4,3,14,0.10121457489878542
94,easowl1,Megascops asio,Eastern Screech-Owl,landbird,Strigiformes,Strigidae,0,9,1,,179.99,7.576286932,6.446676831,4,1,3,5,13.5,0.09716599190283401
95,easpho,Sayornis phoebe,Eastern Phoebe,landbird,Passeriformes,Tyrannidae,0,9,1,,19.7,1.225330096,11.94155295,1,4,2,2,3,0.012145748987854251
96,eastow,Pipilo erythrophthalmus,Eastern Towhee,landbird,Passeriformes,Passerellidae,0,13,1,,40.03,2.196971607,14.12161675,3,5,5,1,10,0.06882591093117409
97,easwpw1,Antrostomus vociferus,Eastern Whip-poor-will,landbird,Caprimulgiformes,Caprimulgidae,0,14,1,,53.3,2.781119599,6.813611738,1.75,2,5,4,14.375,0.10425101214574899
98,eawpew,Contopus virens,Eastern Wood-Pewee,landbird,Passeriformes,Tyrannidae,0,9,1,,13.9,0.919460286,5.702824581,1,1,3,5,9,0.06072874493927125
99,eursta,Sturnus vulgaris,European Starling,landbird,Passeriformes,Sturnidae,0,9,1,,77.14,3.770808317,9.746803211,3,3,2,3,6,0.03643724696356275
100,evegro,Coccothraustes vespertinus,Evening Grosbeak,landbird,Passeriformes,Fringillidae,0,14,1,,57.3,2.951889623,9.519693898,2.125,3,5,3,12.8125,0.09159919028340081
101,fiespa,Spizella pusilla,Field Sparrow,landbird,Passeriformes,Passerellidae,0,13,1,,12.5,0.842491874,10.3492698,2,3,5,3,12.5,0.08906882591093117
102,fiscro,Corvus ossifragus,Fish Crow,landbird,Passeriformes,Corvidae,0,11,1,,284.6,11.04896631,12.82134167,3,4,4,2,10,0.06882591093117409
103,grnher,Butorides virescens,Green Heron,waterbird,Pelecaniformes,Ardeidae,0,12,3,,201.5,8.314379425,5.801312943,3,1,4,5,48,0.3765182186234818
104,foxspa,Passerella iliaca,Fox Sparrow,landbird,Passeriformes,Passerellidae,0,9,1,,33.25,1.885625316,14.60574068,3,5,2,1,4,0.020242914979757085
105,blkter,Chlidonias niger,Black Tern,waterbird,Charadriiformes,Laridae,0,12,5,Gulls and terns strongly negatively affected in Song et al. 2024,65.3,3.28731061,10.726734,1,3,4,3,40,0.3117408906882591
106,bongul,Chroicocephalus philadelphia,Bonaparte's Gull,waterbird,Charadriiformes,Laridae,0,10,5,Gulls and terns strongly negatively affected in Song et al. 2024,210.71,8.626091056,9.604239613,3.114285714,3,3,3,45.857142855,0.35916714862348176
107,lotduc,Clangula hyemalis,Long-tailed Duck,waterfowl,Anseriformes,Anatidae,0,13,4,,871,27.7564401,15.98772102,5,5,5,1,60,0.47368421052631576
108,truswa,Cygnus buccinator,Trumpeter Swan,waterfowl,Anseriformes,Anatidae,0,11,4,,11071.13,225.242314,8.032018523,5,2,4,4,72,0.5708502024291497
109,tunswa,Cygnus columbianus,Tundra Swan,waterfowl,Anseriformes,Anatidae,1,11,1,Swans increased 34.34x (Song et al. 2024),6377.96,143.0255283,12.21290285,5,4,4,2,14,0.10121457489878542
110,gockin,Regulus satrapa,Golden-crowned Kinglet,landbird,Passeriformes,Regulidae,0,10,1,,6.19,0.472299869,21.04200773,1,5,3,1,3,0.012145748987854251
111,goleag,Aquila chrysaetos,Golden Eagle,landbird,Accipitriformes,Accipitridae,0,10,1,Fishing rare,4247.97,102.344773,17.87902288,5,5,3,1,9,0.06072874493927125
112,gowwar,Vermivora chrysoptera,Golden-winged Warbler,landbird,Passeriformes,Parulidae,0,15,1,,8.74,0.627473107,7.623729095,1.470588235,2,5,4,13.6764705875,0.09859490354251013
113,graspa,Ammodramus savannarum,Grasshopper Sparrow,landbird,Passeriformes,Passerellidae,0,12,1,,17.61,1.117231142,8.763468065,2,3,4,3,10,0.06882591093117409
114,mutswa,Cygnus olor,Mute Swan,waterfowl,Anseriformes,Anatidae,0,8,4,,10682.04,218.7029573,9.449225836,5,3,1,3,16,0.11740890688259109
115,grcfly,Myiarchus crinitus,Great Crested Flycatcher,landbird,Passeriformes,Tyrannidae,0,8,1,,32.1,1.831752883,6.141142038,1,1,2,5,6,0.03643724696356275
116,libher,Egretta caerulea,Little Blue Heron,waterbird,Pelecaniformes,Ardeidae,0,12,3,,338.61,12.74872988,5.21845202,3,1,4,5,48,0.3765182186234818
117,snoegr,Egretta thula,Snowy Egret,waterbird,Pelecaniformes,Ardeidae,0,7,3,,371,13.74480341,20.97598166,3.4,5,1,1,6.6,0.04129554655870445
118,triher,Egretta tricolor,Tricolored Heron,waterbird,Pelecaniformes,Ardeidae,0,12,3,,372.3,13.78445285,5.837704212,3,1,4,5,48,0.3765182186234818
119,greyel,Tringa melanoleuca,Greater Yellowlegs,shorebird,Charadriiformes,Scolopacidae,0,14,5,Shorebirds strongly negatively affected in Song et al. 2024,161.74,6.937780807,12.4930866,4,4,5,2,75,0.5951417004048583
120,grhowl,Bubo virginianus,Great Horned Owl,landbird,Strigiformes,Strigidae,0,8,1,,1575.7,45.22494625,5.944838577,4,1,2,5,9,0.06072874493927125
121,whiibi,Eudocimus albus,White Ibis,waterbird,Pelecaniformes,Threskiornithidae,0,9,3,,889.66,28.24521104,6.024902754,4,1,3,5,40.5,0.3157894736842105
122,grycat,Dumetella carolinensis,Gray Catbird,landbird,Passeriformes,Mimidae,0,8,1,,35.3,1.980853812,14.31766365,2,5,1,1,1.5,0
123,gryjay,Perisoreus canadensis,Canada Jay,landbird,Passeriformes,Corvidae,0,9,1,,71.58,3.545525914,10.90581212,3.133333333,4,3,2,7.6999999995,0.05020242914574899
124,gycthr,Catharus minimus,Gray-cheeked Thrush,landbird,Passeriformes,Turdidae,0,9,1,,31.58,1.807281823,11.77440011,2,4,2,2,4,0.020242914979757085
125,haiwoo,Dryobates villosus,Hairy Woodpecker,landbird,Piciformes,Picidae,0,6,1,,62.65,3.177051515,16.74534403,2.454545455,5,1,1,1.7272727275,0.0018402649999999996
126,henspa,Centronyx henslowii,Henslow's Sparrow,landbird,Passeriformes,Passerellidae,0,15,1,,12.8,0.859107928,12.74520081,2.416666667,4,5,2,11.0416666675,0.07726045884615385
127,y00475,Fulica americana,American Coot,waterbird,Gruiformes,Rallidae,0,10,3,,636.74,21.44478727,13.60929694,5,4,3,2,31.5,0.242914979757085
128,herthr,Catharus guttatus,Hermit Thrush,landbird,Passeriformes,Turdidae,0,9,1,,30.1,1.737238804,11.4277034,3,4,2,2,5,0.02834008097165992
129,hoared,Acanthis hornemanni,Hoary Redpoll,landbird,Passeriformes,Fringillidae,0,9,1,,15.2,0.989711121,16.07594585,2.125,5,3,1,4.6875,0.025809716599190284
130,comgal1,Gallinula galeata,Common Gallinule,waterbird,Gruiformes,Rallidae,0,8,3,"Song et al. 2024 found proportion of total richness was higher for vegetation gleaners, but absolute numbers were lower for eurasian coot and higher for common moorhen. Appears less impacted than other guilds.",383,14.10987925,5.4736618,4,1,2,5,27,0.20647773279352227
131,hoowar,Setophaga citrina,Hooded Warbler,landbird,Passeriformes,Parulidae,0,10,1,,10.54,0.732098689,22.01461853,1,5,3,1,3,0.012145748987854251
132,comloo,Gavia immer,Common Loon,waterbird,Gaviiformes,Gaviidae,0,9,5,,4956.81,116.2136834,13.08639194,5,4,2,2,35,0.27125506072874495
133,horlar,Eremophila alpestris,Horned Lark,landbird,Passeriformes,Alaudidae,0,9,1,,33.33,1.88936061,6.276838273,2,1,3,5,10.5,0.0728744939271255
134,houfin,Haemorhous mexicanus,House Finch,landbird,Passeriformes,Fringillidae,0,6,1,,21.4,1.311764508,11.16986729,2.125,4,1,2,2.0625,0.004554655870445344
135,houspa,Passer domesticus,House Sparrow,landbird,Passeriformes,Passeridae,0,9,1,,26.51,1.564724809,20.5253564,3,5,2,1,4,0.020242914979757085
136,houwre,Troglodytes aedon,House Wren,landbird,Passeriformes,Troglodytidae,0,5,1,,10.85,0.74978503,16.69225719,2,5,1,1,1.5,0
137,hudgod,Limosa haemastica,Hudsonian Godwit,shorebird,Charadriiformes,Scolopacidae,0,17,5,Shorebirds strongly negatively affected in Song et al. 2024,253.29,10.03780405,5.861614378,3.535714286,1,5,5,106.696428575,0.8517929439271255
138,indbun,Passerina cyanea,Indigo Bunting,landbird,Passeriformes,Cardinalidae,0,10,1,,14.69,0.962282785,14.97192237,2,5,3,1,4.5,0.024291497975708502
139,kenwar,Geothlypis formosa,Kentucky Warbler,landbird,Passeriformes,Parulidae,0,14,1,,14,0.924904138,11.1801041,1.470588235,4,5,2,8.6764705875,0.058109073582995954
140,killde,Charadrius vociferus,Killdeer,shorebird,Charadriiformes,Charadriidae,0,10,5,Shorebirds strongly negatively affected in Song et al. 2024,96.44,4.532057418,19.81265615,3,5,3,1,30,0.23076923076923078
141,retloo,Gavia stellata,Red-throated Loon,waterbird,Gaviiformes,Gaviidae,0,9,5,,1486,43.09393117,16.60037205,5,5,2,1,30,0.23076923076923078
142,laplon,Calcarius lapponicus,Lapland Longspur,landbird,Passeriformes,Calcariidae,0,10,1,,27.84,1.629090278,10.42321447,2,3,3,3,7.5,0.048582995951417005
143,caster1,Hydroprogne caspia,Caspian Tern,waterbird,Charadriiformes,Laridae,0,9,5,Gulls and terns strongly negatively affected in Song et al. 2024,655,21.9499546,12.43105878,4,4,2,2,30,0.23076923076923078
144,leabit,Ixobrychus exilis,Least Bittern,waterbird,Pelecaniformes,Ardeidae,0,10,3,,86.29,4.135452945,20.51872126,3.4,5,4,1,26.4,0.20161943319838055
145,hergul,Larus argentatus,Herring Gull,waterbird,Charadriiformes,Laridae,1,12,5,completely absent in FPV (Song et al. 2024),1090.99,33.41212813,22.89108996,4,5,4,1,50,0.39271255060728744
146,leafly,Empidonax minimus,Least Flycatcher,landbird,Passeriformes,Tyrannidae,0,11,1,,10,0.70106842,5.693630025,1,1,4,5,12,0.08502024291497975
147,leasan,Calidris minutilla,Least Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,11,5,Shorebirds strongly negatively affected in Song et al. 2024,22.88,1.386028443,8.775160175,3.535714286,3,4,3,65.35714286,0.5170618855060728
148,ribgul,Larus delawarensis,Ring-billed Gull,waterbird,Charadriiformes,Laridae,0,8,5,Gulls and terns strongly negatively affected in Song et al. 2024,516.31,18.04433276,7.327536712,3.114285714,2,2,4,35.57142857,0.27588201271255064
149,lesyel,Tringa flavipes,Lesser Yellowlegs,shorebird,Charadriiformes,Scolopacidae,0,13,5,Shorebirds strongly negatively affected in Song et al. 2024,77.5,3.785294098,7.391024541,3.535714286,2,5,4,94.196428575,0.7505783690283401
150,lbbgul,Larus fuscus,Lesser Black-backed Gull,waterbird,Charadriiformes,Laridae,0,7,5,Gulls and terns strongly negatively affected in Song et al. 2024,762.36,24.87240068,10.92786306,4,4,1,2,15,0.10931174089068826
