X,species_code,scientific_name,common_name.x,group,order,family,Song_etal,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,VI,VI_scaled
185,pecsan,Calidris melanotos,Pectoral Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,14,5,Shorebirds strongly negatively affected in Song et al. 2024,79.73,3.874763395,8.200315304,4,2,5,4,100,0.7975708502024291
186,perfal,Falco peregrinus,Peregrine Falcon,landbird,Falconiformes,Falconidae,0,9,1,,759.95,24.80763288,19.91931565,4,5,2,1,5,0.02834008097165992
187,phivir,Vireo philadelphicus,Philadelphia Vireo,landbird,Passeriformes,Vireonidae,0,9,1,,11.5,0.786583852,9.923777608,2,3,3,3,7.5,0.048582995951417005
188,amewig,Mareca americana,American Wigeon,waterfowl,Anseriformes,Anatidae,0,10,4,,754.61,24.66399311,6.560685714,5,1,3,5,60,0.47368421052631576
189,pilwoo,Dryocopus pileatus,Pileated Woodpecker,landbird,Piciformes,Picidae,0,7,1,,286.59,11.11254852,18.2876283,2.454545455,5,1,1,1.7272727275,0.0018402649999999996
190,pingro,Pinicola enucleator,Pine Grosbeak,landbird,Passeriformes,Fringillidae,0,12,1,,56.4,2.913655029,6.407380234,3,1,4,5,16,0.11740890688259109
191,pinsis,Spinus pinus,Pine Siskin,landbird,Passeriformes,Fringillidae,0,10,1,,12.7,0.85357696,13.85609438,2.125,4,3,2,6.1875,0.03795546558704453
192,pinwar,Setophaga pinus,Pine Warbler,landbird,Passeriformes,Parulidae,0,8,1,,11.79,0.802882449,9.561149584,1.470588235,3,2,3,4.470588235,0.024053346032388664
193,pipplo,Charadrius melodus,Piping Plover,shorebird,Charadriiformes,Charadriidae,0,16,5,Shorebirds strongly negatively affected in Song et al. 2024,54.39,2.827871993,7.110445437,3.222222222,2,5,4,90.277777775,0.7188484030364373
194,prawar,Setophaga discolor,Prairie Warbler,landbird,Passeriformes,Parulidae,0,14,1,,7.64,0.561678605,9.635978011,1.470588235,3,5,3,11.1764705875,0.07835198856275304
195,prowar,Protonotaria citrea,Prothonotary Warbler,landbird,Passeriformes,Parulidae,0,14,1,,14.3,0.941194768,8.784908819,1.470588235,3,5,3,11.1764705875,0.07835198856275304
196,purfin,Haemorhous purpureus,Purple Finch,landbird,Passeriformes,Fringillidae,0,8,1,,23.3,1.406946892,16.29788808,2,5,2,1,3,0.012145748987854251
197,purmar,Progne subis,Purple Martin,landbird,Passeriformes,Hirundinidae,0,9,2,,53.79,2.802157406,6.419240511,2,1,2,5,14,0.10121457489878542
198,pursan,Calidris maritima,Purple Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,12,5,Shorebirds strongly negatively affected in Song et al. 2024,65.1,3.279017102,5.837704212,3.535714286,1,5,5,106.696428575,0.8517929439271255
199,gadwal,Mareca strepera,Gadwall,waterfowl,Anseriformes,Anatidae,1,8,5,Reduced to 26% of original population in FPV treatment (Song et al. 2024),915.58,28.92115929,12.35255351,5,4,1,2,17.5,0.12955465587044535
200,rebnut,Sitta canadensis,Red-breasted Nuthatch,landbird,Passeriformes,Sittidae,0,7,1,,9.8,0.689501293,6.840131529,2,2,1,4,3,0.012145748987854251
201,rebwoo,Melanerpes carolinus,Red-bellied Woodpecker,landbird,Piciformes,Picidae,0,7,1,,69.5,3.460462928,8.133619072,3,2,1,4,3.5,0.016194331983805668
202,redcro,Loxia curvirostra,Red Crossbill,landbird,Passeriformes,Fringillidae,0,9,1,,38.29,2.118023263,7.280035607,3,2,2,4,7,0.044534412955465584
203,blksco2,Melanitta americana,Black Scoter,waterfowl,Anseriformes,Anatidae,0,13,5,"""Feeds in open water; usually avoids dense aquatic vegetation which is rare in its breeding areas.""",1049.98,32.37436981,6.380800237,5,1,5,5,125,1
204,redkno,Calidris canutus,Red Knot,shorebird,Charadriiformes,Scolopacidae,0,13,5,Shorebirds strongly negatively affected in Song et al. 2024,141.87,6.227895887,4.815036149,4,1,5,5,112.5,0.8987854251012146
205,reevir1,Vireo olivaceus,Red-eyed Vireo,landbird,Passeriformes,Vireonidae,0,5,1,,16.06,1.035599159,5.721089353,2,1,1,5,3.5,0.016194331983805668
206,rehwoo,Melanerpes erythrocephalus,Red-headed Woodpecker,landbird,Piciformes,Picidae,0,12,1,,71.6,3.546341691,15.17167491,2.454545455,5,5,1,8.6363636375,0.05778432095141701
207,whwsco2,Melanitta deglandi,White-winged Scoter,waterfowl,Anseriformes,Anatidae,0,12,5,,1800.17,50.46720342,6.716110829,5,2,4,4,90,0.7165991902834008
208,reshaw,Buteo lineatus,Red-shouldered Hawk,landbird,Accipitriformes,Accipitridae,0,8,1,,603.72,20.52471008,17.46594039,4,5,1,1,2.5,0.008097165991902834
209,rethaw,Buteo jamaicensis,Red-tailed Hawk,landbird,Accipitriformes,Accipitridae,0,7,1,,1101.16,33.66840615,24.73170557,4,5,1,1,2.5,0.008097165991902834
210,sursco,Melanitta perspicillata,Surf Scoter,waterfowl,Anseriformes,Anatidae,0,11,5,,1096.33,33.54674532,6.420554513,5,1,4,5,100,0.7975708502024291
211,rewbla,Agelaius phoeniceus,Red-winged Blackbird,landbird,Passeriformes,Icteridae,0,8,2,,50.78,2.672377224,10.32399176,3,3,2,3,12,0.08502024291497975
212,commer,Mergus merganser,Common Merganser,waterfowl,Anseriformes,Anatidae,1,10,5,completely absent in FPV (Song et al. 2024),1451.02,42.25680685,11.33160116,5,4,3,2,52.5,0.41295546558704455
213,rebmer,Mergus serrator,Red-breasted Merganser,waterfowl,Anseriformes,Anatidae,0,9,5,,1015.17,31.48788141,11.33580297,5,4,2,2,35,0.27125506072874495
214,rinphe1,Phasianus colchicus,Ring-necked Pheasant,landbird,Galliformes,Phasianidae,0,8,1,,1120.31,34.14984546,18.23403523,5,5,1,1,3,0.012145748987854251
