"","scientific_name","common_name","group","order","family","bodymass_g","defication_rate_estimated","wingloading_quantile","axial_length_estimated","axial_length_quantile","VA_risk","CCS_raw","CCS_quantile","habitat_score","habitat_comment","VI"
"254","Podilymbus podiceps","Pied-billed Grebe","waterbird","Podicipediformes","Podicipedidae",411.93,14.98187498,5,5.903639807,1,5,8,2,5,"",50
"255","Porzana carolina","Sora","waterbird","Gruiformes","Rallidae",74.8,3.6763568,4,15.48026005,5,1,9,2,3,"",15
"256","Baeolophus bicolor","Tufted Titmouse","landbird","Passeriformes","Paridae",21.6,1.321851885,2,7.86580394,2,4,7,1,1,"",3
"257","Rallus elegans","King Rail","waterbird","Gruiformes","Rallidae",313.31,11.95897557,4,6.627453324,1,5,15,5,3,"",67.5
"258","Cathartes aura","Turkey Vulture","landbird","Cathartiformes","Cathartidae",1518.24,43.86240696,4,22.67761567,5,1,6,1,1,"",2.5
"259","Bartramia longicauda","Upland Sandpiper","shorebird","Charadriiformes","Scolopacidae",158.92,6.838013615,3.535714286,7.881326899,2,4,11,4,5,"",75.35714286
"260","Catharus fuscescens","Veery","landbird","Passeriformes","Turdidae",31.9,1.822349278,2,5.977227552,1,5,11,4,1,"",14
"261","Pooecetes gramineus","Vesper Sparrow","landbird","Passeriformes","Passerellidae",25.68,1.524268825,3,6.141142038,1,5,11,4,1,"",16
"262","Rallus limicola","Virginia Rail","waterbird","Gruiformes","Rallidae",84.1,4.048826335,3,9.862612255,3,3,10,3,3,"",27
"263","Vireo gilvus","Warbling Vireo","landbird","Passeriformes","Vireonidae",12.67,0.851916172,2,5.886931016,1,5,8,2,1,"",7
"264","Calidris mauri","Western Sandpiper","shorebird","Charadriiformes","Scolopacidae",27.82,1.628126456,3.535714286,7.602335506,2,4,14,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",94.196428575
"265","Sitta carolinensis","White-breasted Nuthatch","landbird","Passeriformes","Sittidae",21,1.291539609,2,7.100573713,2,4,6,1,1,"",3
"266","Zonotrichia leucophrys","White-crowned Sparrow","landbird","Passeriformes","Passerellidae",28,1.636796459,2.416666667,13.96678372,4,2,9,3,1,"",6.6250000005
"267","Vireo griseus","White-eyed Vireo","landbird","Passeriformes","Vireonidae",11.4,0.780946896,2,6.065377956,1,5,7,1,1,"",3.5
"268","Spatula clypeata","Northern Shoveler","waterfowl","Anseriformes","Anatidae",612.56,20.77188167,5,13.4446464,4,2,7,1,5,"completely absent in FPV (Song et al. 2024)",17.5
"269","Zonotrichia albicollis","White-throated Sparrow","landbird","Passeriformes","Passerellidae",24.4,1.461421893,3,6.290796182,1,5,9,2,1,"",8
"270","Loxia leucoptera","White-winged Crossbill","landbird","Passeriformes","Fringillidae",28.69,1.669941032,2.125,14.35846086,5,1,6,1,1,"",1.5625
"271","Spatula discors","Blue-winged Teal","waterfowl","Anseriformes","Anatidae",359.44,13.39113766,5,12.90516027,4,2,8,1,4,"",14
"272","Empidonax traillii","Willow Flycatcher","landbird","Passeriformes","Tyrannidae",13.39,0.891587777,1,6.242977594,1,5,10,3,1,"",9
"273","Tringa semipalmata","Willet","shorebird","Charadriiformes","Scolopacidae",245.7,9.789441405,3,12.39677009,4,2,14,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",62.5
"274","Gallinago delicata","Wilson's Snipe","shorebird","Charadriiformes","Scolopacidae",112.5,5.144979459,3.535714286,6.496773973,1,5,9,3,5,"Shorebirds strongly negatively affected in Song et al. 2024",64.017857145
