"","scientific_name","common_name","group","order","family","bodymass_g","defication_rate_estimated","wingloading_quantile","axial_length_estimated","axial_length_quantile","VA_risk","CCS_raw","CCS_quantile","habitat_score","habitat_comment","VI"
"90","Calidris alpina","Dunlin","shorebird","Charadriiformes","Scolopacidae",51.89,2.720390323,3,11.12705897,4,2,12,4,5,"completely absent in FPV (Song et al. 2024)",50
"91","Sialia sialis","Eastern Bluebird","landbird","Passeriformes","Turdidae",27.5,1.612688607,2,9.518001008,3,3,7,1,1,"",2.5
"92","Tyrannus tyrannus","Eastern Kingbird","landbird","Passeriformes","Tyrannidae",39.85,2.188833055,1,7.207102753,2,4,11,4,2,"",20
"93","Sturnella magna","Eastern Meadowlark","landbird","Passeriformes","Icteridae",91.76,4.350154628,4,8.973032341,3,3,11,4,1,"",14
"94","Megascops asio","Eastern Screech-Owl","landbird","Strigiformes","Strigidae",179.99,7.576286932,4,6.446676831,1,5,9,3,1,"",13.5
"95","Sayornis phoebe","Eastern Phoebe","landbird","Passeriformes","Tyrannidae",19.7,1.225330096,1,11.94155295,4,2,9,2,1,"",3
"96","Pipilo erythrophthalmus","Eastern Towhee","landbird","Passeriformes","Passerellidae",40.03,2.196971607,3,14.12161675,5,1,13,5,1,"",10
"97","Antrostomus vociferus","Eastern Whip-poor-will","landbird","Caprimulgiformes","Caprimulgidae",53.3,2.781119599,1.75,6.813611738,2,4,14,5,1,"",14.375
"98","Contopus virens","Eastern Wood-Pewee","landbird","Passeriformes","Tyrannidae",13.9,0.919460286,1,5.702824581,1,5,9,3,1,"",9
"99","Sturnus vulgaris","European Starling","landbird","Passeriformes","Sturnidae",77.14,3.770808317,3,9.746803211,3,3,9,2,1,"",6
"100","Coccothraustes vespertinus","Evening Grosbeak","landbird","Passeriformes","Fringillidae",57.3,2.951889623,2.125,9.519693898,3,3,14,5,1,"",12.8125
"101","Spizella pusilla","Field Sparrow","landbird","Passeriformes","Passerellidae",12.5,0.842491874,2,10.3492698,3,3,13,5,1,"",12.5
"102","Corvus ossifragus","Fish Crow","landbird","Passeriformes","Corvidae",284.6,11.04896631,3,12.82134167,4,2,11,4,1,"",10
"103","Butorides virescens","Green Heron","waterbird","Pelecaniformes","Ardeidae",201.5,8.314379425,3,5.801312943,1,5,12,4,3,"",48
"104","Passerella iliaca","Fox Sparrow","landbird","Passeriformes","Passerellidae",33.25,1.885625316,3,14.60574068,5,1,9,2,1,"",4
"105","Chlidonias niger","Black Tern","waterbird","Charadriiformes","Laridae",65.3,3.28731061,1,10.726734,3,3,12,4,5,"Gulls and terns strongly negatively affected in Song et al. 2024",40
"106","Chroicocephalus philadelphia","Bonaparte's Gull","waterbird","Charadriiformes","Laridae",210.71,8.626091056,3.114285714,9.604239613,3,3,10,3,5,"Gulls and terns strongly negatively affected in Song et al. 2024",45.857142855
"107","Clangula hyemalis","Long-tailed Duck","waterfowl","Anseriformes","Anatidae",871,27.7564401,5,15.98772102,5,1,13,5,4,"",60
"108","Cygnus buccinator","Trumpeter Swan","waterfowl","Anseriformes","Anatidae",11071.13,225.242314,5,8.032018523,2,4,11,4,4,"",72
"109","Cygnus columbianus","Tundra Swan","waterfowl","Anseriformes","Anatidae",6377.96,143.0255283,5,12.21290285,4,2,11,4,1,"Swans increased 34.34x (Song et al. 2024)",14
"110","Regulus satrapa","Golden-crowned Kinglet","landbird","Passeriformes","Regulidae",6.19,0.472299869,1,21.04200773,5,1,10,3,1,"",3
"111","Aquila chrysaetos","Golden Eagle","landbird","Accipitriformes","Accipitridae",4247.97,102.344773,5,17.87902288,5,1,10,3,1,"Fishing rare",9
"112","Vermivora chrysoptera","Golden-winged Warbler","landbird","Passeriformes","Parulidae",8.74,0.627473107,1.470588235,7.623729095,2,4,15,5,1,"",13.6764705875
"113","Ammodramus savannarum","Grasshopper Sparrow","landbird","Passeriformes","Passerellidae",17.61,1.117231142,2,8.763468065,3,3,12,4,1,"",10
"114","Cygnus olor","Mute Swan","waterfowl","Anseriformes","Anatidae",10682.04,218.7029573,5,9.449225836,3,3,8,1,4,"",16
"115","Myiarchus crinitus","Great Crested Flycatcher","landbird","Passeriformes","Tyrannidae",32.1,1.831752883,1,6.141142038,1,5,8,2,1,"",6
"116","Egretta caerulea","Little Blue Heron","waterbird","Pelecaniformes","Ardeidae",338.61,12.74872988,3,5.21845202,1,5,12,4,3,"",48
"117","Egretta thula","Snowy Egret","waterbird","Pelecaniformes","Ardeidae",371,13.74480341,3.4,20.97598166,5,1,7,1,3,"",6.6
"118","Egretta tricolor","Tricolored Heron","waterbird","Pelecaniformes","Ardeidae",372.3,13.78445285,3,5.837704212,1,5,12,4,3,"",48
"119","Tringa melanoleuca","Greater Yellowlegs","shorebird","Charadriiformes","Scolopacidae",161.74,6.937780807,4,12.4930866,4,2,14,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",75
"120","Bubo virginianus","Great Horned Owl","landbird","Strigiformes","Strigidae",1575.7,45.22494625,4,5.944838577,1,5,8,2,1,"",9
"121","Eudocimus albus","White Ibis","waterbird","Pelecaniformes","Threskiornithidae",889.66,28.24521104,4,6.024902754,1,5,9,3,3,"",40.5
"122","Dumetella carolinensis","Gray Catbird","landbird","Passeriformes","Mimidae",35.3,1.980853812,2,14.31766365,5,1,8,1,1,"",1.5
"123","Perisoreus canadensis","Canada Jay","landbird","Passeriformes","Corvidae",71.58,3.545525914,3.133333333,10.90581212,4,2,9,3,1,"",7.6999999995
"124","Catharus minimus","Gray-cheeked Thrush","landbird","Passeriformes","Turdidae",31.58,1.807281823,2,11.77440011,4,2,9,2,1,"",4
"125","Dryobates villosus","Hairy Woodpecker","landbird","Piciformes","Picidae",62.65,3.177051515,2.454545455,16.74534403,5,1,6,1,1,"",1.7272727275
"126","Centronyx henslowii","Henslow's Sparrow","landbird","Passeriformes","Passerellidae",12.8,0.859107928,2.416666667,12.74520081,4,2,15,5,1,"",11.0416666675
"127","Fulica americana","American Coot","waterbird","Gruiformes","Rallidae",636.74,21.44478727,5,13.60929694,4,2,10,3,3,"",31.5
"128","Catharus guttatus","Hermit Thrush","landbird","Passeriformes","Turdidae",30.1,1.737238804,3,11.4277034,4,2,9,2,1,"",5
"129","Acanthis hornemanni","Hoary Redpoll","landbird","Passeriformes","Fringillidae",15.2,0.989711121,2.125,16.07594585,5,1,9,3,1,"",4.6875
"130","Gallinula galeata","Common Gallinule","waterbird","Gruiformes","Rallidae",383,14.10987925,4,5.4736618,1,5,8,2,3,"Song et al. 2024 found proportion of total richness was higher for vegetation gleaners, but absolute numbers were lower for eurasian coot and higher for common moorhen. Appears less impacted than other guilds.",27
"131","Setophaga citrina","Hooded Warbler","landbird","Passeriformes","Parulidae",10.54,0.732098689,1,22.01461853,5,1,10,3,1,"",3
"132","Gavia immer","Common Loon","waterbird","Gaviiformes","Gaviidae",4956.81,116.2136834,5,13.08639194,4,2,9,2,5,"",35
"133","Eremophila alpestris","Horned Lark","landbird","Passeriformes","Alaudidae",33.33,1.88936061,2,6.276838273,1,5,9,3,1,"",10.5
"134","Haemorhous mexicanus","House Finch","landbird","Passeriformes","Fringillidae",21.4,1.311764508,2.125,11.16986729,4,2,6,1,1,"",2.0625
"135","Passer domesticus","House Sparrow","landbird","Passeriformes","Passeridae",26.51,1.564724809,3,20.5253564,5,1,9,2,1,"",4
"136","Troglodytes aedon","House Wren","landbird","Passeriformes","Troglodytidae",10.85,0.74978503,2,16.69225719,5,1,5,1,1,"",1.5
"137","Limosa haemastica","Hudsonian Godwit","shorebird","Charadriiformes","Scolopacidae",253.29,10.03780405,3.535714286,5.861614378,1,5,17,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",106.696428575
"138","Passerina cyanea","Indigo Bunting","landbird","Passeriformes","Cardinalidae",14.69,0.962282785,2,14.97192237,5,1,10,3,1,"",4.5
"139","Geothlypis formosa","Kentucky Warbler","landbird","Passeriformes","Parulidae",14,0.924904138,1.470588235,11.1801041,4,2,14,5,1,"",8.6764705875
"140","Charadrius vociferus","Killdeer","shorebird","Charadriiformes","Charadriidae",96.44,4.532057418,3,19.81265615,5,1,10,3,5,"Shorebirds strongly negatively affected in Song et al. 2024",30
"141","Gavia stellata","Red-throated Loon","waterbird","Gaviiformes","Gaviidae",1486,43.09393117,5,16.60037205,5,1,9,2,5,"",30
"142","Calcarius lapponicus","Lapland Longspur","landbird","Passeriformes","Calcariidae",27.84,1.629090278,2,10.42321447,3,3,10,3,1,"",7.5
"143","Hydroprogne caspia","Caspian Tern","waterbird","Charadriiformes","Laridae",655,21.9499546,4,12.43105878,4,2,9,2,5,"Gulls and terns strongly negatively affected in Song et al. 2024",30
"144","Ixobrychus exilis","Least Bittern","waterbird","Pelecaniformes","Ardeidae",86.29,4.135452945,3.4,20.51872126,5,1,10,4,3,"",26.4
"145","Larus argentatus","Herring Gull","waterbird","Charadriiformes","Laridae",1090.99,33.41212813,4,22.89108996,5,1,12,4,5,"completely absent in FPV (Song et al. 2024)",50
"146","Empidonax minimus","Least Flycatcher","landbird","Passeriformes","Tyrannidae",10,0.70106842,1,5.693630025,1,5,11,4,1,"",12
"147","Calidris minutilla","Least Sandpiper","shorebird","Charadriiformes","Scolopacidae",22.88,1.386028443,3.535714286,8.775160175,3,3,11,4,5,"Shorebirds strongly negatively affected in Song et al. 2024",65.35714286
"148","Larus delawarensis","Ring-billed Gull","waterbird","Charadriiformes","Laridae",516.31,18.04433276,3.114285714,7.327536712,2,4,8,2,5,"Gulls and terns strongly negatively affected in Song et al. 2024",35.57142857
"149","Tringa flavipes","Lesser Yellowlegs","shorebird","Charadriiformes","Scolopacidae",77.5,3.785294098,3.535714286,7.391024541,2,4,13,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",94.196428575
"150","Larus fuscus","Lesser Black-backed Gull","waterbird","Charadriiformes","Laridae",762.36,24.87240068,4,10.92786306,4,2,7,1,5,"Gulls and terns strongly negatively affected in Song et al. 2024",15
"151","Melospiza lincolnii","Lincoln's Sparrow","landbird","Passeriformes","Passerellidae",16.6,1.06419015,3,9.889150996,3,3,7,1,1,"",3
"152","Limnodromus scolopaceus","Long-billed Dowitcher","shorebird","Charadriiformes","Scolopacidae",104.4,4.837928329,3.535714286,6.818051925,2,4,14,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",94.196428575
"153","Asio otus","Long-eared Owl","landbird","Strigiformes","Strigidae",296.57,11.4302561,2,7.168879872,2,4,10,3,1,"",9
"154","Lanius ludovicianus","Loggerhead Shrike","landbird","Passeriformes","Laniidae",51.59,2.707431845,2.2,12.76088389,4,2,11,4,1,"",8.4
"155","Larus glaucoides","Iceland Gull","waterbird","Charadriiformes","Laridae",693.31,23.00184446,4,8.722147245,3,3,11,4,5,"Gulls and terns strongly negatively affected in Song et al. 2024",70
"156","Parkesia motacilla","Louisiana Waterthrush","landbird","Passeriformes","Parulidae",19.9,1.235565201,2,13.67439713,4,2,11,4,2,"",16
"157","Setophaga magnolia","Magnolia Warbler","landbird","Passeriformes","Parulidae",8.14,0.591779171,1,9.172275981,3,3,9,2,1,"",4
"158","Larus hyperboreus","Glaucous Gull","waterbird","Charadriiformes","Laridae",1529.04,44.11919039,3.114285714,7.896030979,2,4,13,5,5,"Gulls and terns strongly negatively affected in Song et al. 2024",88.928571425
"159","Limosa fedoa","Marbled Godwit","shorebird","Charadriiformes","Scolopacidae",357.02,13.31684802,3.535714286,8.045960817,2,4,15,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",94.196428575
"160","Cistothorus palustris","Marsh Wren","landbird","Passeriformes","Troglodytidae",10.8,0.746938491,2,8.799029446,3,3,7,1,2,"",5
"161","Falco columbarius","Merlin","landbird","Falconiformes","Falconidae",188.5,7.87006392,3,20.31952854,5,1,8,1,1,"",2
"162","Ictinia mississippiensis","Mississippi Kite","landbird","Accipitriformes","Accipitridae",276.03,10.77424196,3.6,5.986848444,1,5,9,3,1,"",12.9
"163","Zenaida macroura","Mourning Dove","landbird","Columbiformes","Columbidae",118.93,5.385946147,3,16.13171661,5,1,7,1,1,"",2
"164","Geothlypis philadelphia","Mourning Warbler","landbird","Passeriformes","Parulidae",11.74,0.800077441,1.470588235,14.04508975,5,1,12,5,1,"",6.1764705875
"165","Larus marinus","Great Black-backed Gull","waterbird","Charadriiformes","Laridae",1649.71,46.96710064,4,15.72008641,5,1,15,5,5,"Gulls and terns strongly negatively affected in Song et al. 2024",62.5
"166","Leiothlypis ruficapilla","Nashville Warbler","landbird","Passeriformes","Parulidae",8.09,0.588784119,1.470588235,13.09898718,4,2,11,4,1,"",6.94117647
"167","Colinus virginianus","Northern Bobwhite","landbird","Galliformes","Odontophoridae",171.89,7.294378095,5,11.06064511,4,2,12,4,1,"",14
"168","Cardinalis cardinalis","Northern Cardinal","landbird","Passeriformes","Cardinalidae",42.64,2.314271725,2,9.100819242,3,3,6,1,1,"",2.5
"169","Colaptes auratus","Northern Flicker","landbird","Piciformes","Picidae",131.46,5.849059512,3,7.11634998,2,4,10,3,1,"",10.5
"170","Circus hudsonius","Northern Harrier","landbird","Accipitriformes","Accipitridae",392.98,14.41196378,3,32.5784233,5,1,11,4,1,"",8
"171","Mimus polyglottos","Northern Mockingbird","landbird","Passeriformes","Mimidae",48.5,2.573168133,2,19.63134239,5,1,9,2,1,"",3
"172","Setophaga americana","Northern Parula","landbird","Passeriformes","Parulidae",7.84,0.573759341,1,6.795922453,2,4,9,2,1,"",5
"173","Leucophaeus atricilla","Laughing Gull","waterbird","Charadriiformes","Laridae",307.41,11.77321163,3,14.22565236,5,1,11,4,5,"Gulls and terns strongly negatively affected in Song et al. 2024",40
"174","Lophodytes cucullatus","Hooded Merganser","waterfowl","Anseriformes","Anatidae",613.77,20.80566481,5,6.980014779,2,4,8,2,5,"",45
"175","Lanius borealis","Northern Shrike","landbird","Passeriformes","Laniidae",67.5,3.37824686,2.2,9.551769486,3,3,13,5,1,"",13
"176","Parkesia noveboracensis","Northern Waterthrush","landbird","Passeriformes","Parulidae",16.3,1.048326883,2,7.007721276,2,4,8,1,2,"",6
"177","Stelgidopteryx serripennis","Northern Rough-winged Swallow","landbird","Passeriformes","Hirundinidae",15.69,1.015911177,1.25,7.356938427,2,4,9,3,2,"",15.75
"178","Aegolius acadicus","Northern Saw-whet Owl","landbird","Strigiformes","Strigidae",100.69,4.695899937,3,7.743822372,2,4,8,2,1,"",7
"179","Contopus cooperi","Olive-sided Flycatcher","landbird","Passeriformes","Tyrannidae",32.1,1.831752883,1,5.647017406,1,5,13,5,1,"",15
"180","Icterus spurius","Orchard Oriole","landbird","Passeriformes","Icteridae",19.44,1.211996983,2,11.90737319,4,2,10,3,1,"",6
"181","Leiothlypis celata","Orange-crowned Warbler","landbird","Passeriformes","Parulidae",9.19,0.653959357,1.470588235,9.304834727,3,3,8,2,1,"",4.470588235
"182","Pandion haliaetus","Osprey","landbird","Accipitriformes","Pandionidae",1483.2,43.02705202,4,15.92264926,5,1,7,1,3,"",7.5
"183","Seiurus aurocapilla","Ovenbird","landbird","Passeriformes","Parulidae",18.8,1.179041709,2,6.394129163,1,5,9,2,1,"",7
"184","Setophaga palmarum","Palm Warbler","landbird","Passeriformes","Parulidae",10.3,0.718342975,1.470588235,11.29800569,4,2,10,3,1,"",5.2058823525
"185","Calidris melanotos","Pectoral Sandpiper","shorebird","Charadriiformes","Scolopacidae",79.73,3.874763395,4,8.200315304,2,4,14,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",100
"186","Falco peregrinus","Peregrine Falcon","landbird","Falconiformes","Falconidae",759.95,24.80763288,4,19.91931565,5,1,9,2,1,"",5
"187","Vireo philadelphicus","Philadelphia Vireo","landbird","Passeriformes","Vireonidae",11.5,0.786583852,2,9.923777608,3,3,9,3,1,"",7.5
"188","Mareca americana","American Wigeon","waterfowl","Anseriformes","Anatidae",754.61,24.66399311,5,6.560685714,1,5,10,3,4,"",60
"189","Dryocopus pileatus","Pileated Woodpecker","landbird","Piciformes","Picidae",286.59,11.11254852,2.454545455,18.2876283,5,1,7,1,1,"",1.7272727275
"190","Pinicola enucleator","Pine Grosbeak","landbird","Passeriformes","Fringillidae",56.4,2.913655029,3,6.407380234,1,5,12,4,1,"",16
"191","Spinus pinus","Pine Siskin","landbird","Passeriformes","Fringillidae",12.7,0.85357696,2.125,13.85609438,4,2,10,3,1,"",6.1875
"192","Setophaga pinus","Pine Warbler","landbird","Passeriformes","Parulidae",11.79,0.802882449,1.470588235,9.561149584,3,3,8,2,1,"",4.470588235
"193","Charadrius melodus","Piping Plover","shorebird","Charadriiformes","Charadriidae",54.39,2.827871993,3.222222222,7.110445437,2,4,16,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",90.277777775
"194","Setophaga discolor","Prairie Warbler","landbird","Passeriformes","Parulidae",7.64,0.561678605,1.470588235,9.635978011,3,3,14,5,1,"",11.1764705875
"195","Protonotaria citrea","Prothonotary Warbler","landbird","Passeriformes","Parulidae",14.3,0.941194768,1.470588235,8.784908819,3,3,14,5,1,"",11.1764705875
"196","Haemorhous purpureus","Purple Finch","landbird","Passeriformes","Fringillidae",23.3,1.406946892,2,16.29788808,5,1,8,2,1,"",3
"197","Progne subis","Purple Martin","landbird","Passeriformes","Hirundinidae",53.79,2.802157406,2,6.419240511,1,5,9,2,2,"",14
"198","Calidris maritima","Purple Sandpiper","shorebird","Charadriiformes","Scolopacidae",65.1,3.279017102,3.535714286,5.837704212,1,5,12,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",106.696428575
"199","Mareca strepera","Gadwall","waterfowl","Anseriformes","Anatidae",915.58,28.92115929,5,12.35255351,4,2,8,1,5,"Reduced to 26% of original population in FPV treatment (Song et al. 2024)",17.5
"200","Sitta canadensis","Red-breasted Nuthatch","landbird","Passeriformes","Sittidae",9.8,0.689501293,2,6.840131529,2,4,7,1,1,"",3
"201","Melanerpes carolinus","Red-bellied Woodpecker","landbird","Piciformes","Picidae",69.5,3.460462928,3,8.133619072,2,4,7,1,1,"",3.5
"202","Loxia curvirostra","Red Crossbill","landbird","Passeriformes","Fringillidae",38.29,2.118023263,3,7.280035607,2,4,9,2,1,"",7
"203","Melanitta americana","Black Scoter","waterfowl","Anseriformes","Anatidae",1049.98,32.37436981,5,6.380800237,1,5,13,5,5,"""Feeds in open water; usually avoids dense aquatic vegetation which is rare in its breeding areas.""",125
"204","Calidris canutus","Red Knot","shorebird","Charadriiformes","Scolopacidae",141.87,6.227895887,4,4.815036149,1,5,13,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",112.5
"205","Vireo olivaceus","Red-eyed Vireo","landbird","Passeriformes","Vireonidae",16.06,1.035599159,2,5.721089353,1,5,5,1,1,"",3.5
"206","Melanerpes erythrocephalus","Red-headed Woodpecker","landbird","Piciformes","Picidae",71.6,3.546341691,2.454545455,15.17167491,5,1,12,5,1,"",8.6363636375
"207","Melanitta deglandi","White-winged Scoter","waterfowl","Anseriformes","Anatidae",1800.17,50.46720342,5,6.716110829,2,4,12,4,5,"",90
"208","Buteo lineatus","Red-shouldered Hawk","landbird","Accipitriformes","Accipitridae",603.72,20.52471008,4,17.46594039,5,1,8,1,1,"",2.5
"209","Buteo jamaicensis","Red-tailed Hawk","landbird","Accipitriformes","Accipitridae",1101.16,33.66840615,4,24.73170557,5,1,7,1,1,"",2.5
"210","Melanitta perspicillata","Surf Scoter","waterfowl","Anseriformes","Anatidae",1096.33,33.54674532,5,6.420554513,1,5,11,4,5,"",100
"211","Agelaius phoeniceus","Red-winged Blackbird","landbird","Passeriformes","Icteridae",50.78,2.672377224,3,10.32399176,3,3,8,2,2,"",12
"212","Mergus merganser","Common Merganser","waterfowl","Anseriformes","Anatidae",1451.02,42.25680685,5,11.33160116,4,2,10,3,5,"completely absent in FPV (Song et al. 2024)",52.5
"213","Mergus serrator","Red-breasted Merganser","waterfowl","Anseriformes","Anatidae",1015.17,31.48788141,5,11.33580297,4,2,9,2,5,"",35
"214","Phasianus colchicus","Ring-necked Pheasant","landbird","Galliformes","Phasianidae",1120.31,34.14984546,5,18.23403523,5,1,8,1,1,"",3
"215","Pheucticus ludovicianus","Rose-breasted Grosbeak","landbird","Passeriformes","Cardinalidae",42,2.285628719,2,7.002746657,2,4,10,3,1,"",9
"216","Columba livia","Rock Pigeon","landbird","Columbiformes","Columbidae",354.2,13.23016685,4,15.95345576,5,1,7,1,1,"",2.5
