species_code,scientific_name,common_name.x,group,order,family,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,exposure,exposure_scaled,VI,exposure_scaled_2,risk,reduction_factor,abs_target
rolhaw,Buteo lagopus,Rough-legged Hawk,landbird,Accipitriformes,Accipitridae,9,1,,949.76,29.80738036,19.54447995,3,5,2,1,117.3290277,1.01375793,4,0.003439482,0.01375793,0.883805668,140.4552535
rosgoo,Anser rossii,Ross's Goose,waterfowl,Anseriformes,Anatidae,12,4,,1635.99,46.64519907,10.07747873,5,3,4,3,11.42475625,1.00133966,64,0.000334915,0.021434559,0.4951417,5.072338251
royter1,Thalasseus maximus,Royal Tern,waterbird,Charadriiformes,Laridae,11,5,Gulls and terns strongly negatively affected in Song et al. 2024,415.31,15.08303503,13.12897353,4,4,4,2,435.4249451,1.051057662,36,0.012764416,0.459518962,0.676518219,1091.703387
rthhum,Archilochus colubris,Ruby-throated Hummingbird,landbird,Apodiformes,Trochilidae,8,1,,3.09,0.266527258,11.57611245,2,4,1,2,2655.61586,1.31139589,2,0.077848972,0.155697945,0.896761134,2478.604686
ruckin,Corthylio calendula,Ruby-crowned Kinglet,landbird,Passeriformes,Regulidae,7,1,,6.19,0.472299869,6.285223499,1,1,1,5,1682.074656,1.197239044,3,0.049309761,0.147929283,0.890283401,1376.858113
rudduc,Oxyura jamaicensis,Ruddy Duck,waterfowl,Anseriformes,Anatidae,8,5,Needs space to take off,608.15,20.64865475,9.207512113,5,3,1,3,3115.574387,1.365330345,20,0.091332586,1.826651724,0.780161943,2984.321001
rudtur,Arenaria interpres,Ruddy Turnstone,shorebird,Charadriiformes,Scolopacidae,14,5,Shorebirds strongly negatively affected in Song et al. 2024,135.98,6.014176486,12.07954828,4,4,5,2,2811.716135,1.329700112,45,0.082425028,3.709126263,0.618218623,3348.300727
rufgro,Bonasa umbellus,Ruffed Grouse,landbird,Galliformes,Phasianidae,8,1,,530.91,18.46348621,12.43928823,5,4,1,2,549.5704364,1.064442293,3.5,0.016110573,0.056387006,0.887044534,1442.039803
rusbla,Euphagus carolinus,Rusty Blackbird,landbird,Passeriformes,Icteridae,12,1,,59.57,3.047859886,14.20393003,3,5,5,1,4521.118837,1.530143626,10,0.132535907,1.325359066,0.844939271,2711.442462
sabgul,Xema sabini,Sabine's Gull,waterbird,Charadriiformes,Laridae,12,5,Gulls and terns strongly negatively affected in Song et al. 2024,198,8.19526735,8.155122725,3.114285714,2,5,4,17.66749015,1.002071679,53.35714286,0.00051792,0.027634719,0.564083285,6.142171621
sancra,Antigone canadensis,Sandhill Crane,waterbird,Gruiformes,Gruidae,8,3,,4296.22,103.3011103,7.345577432,5,2,2,4,12.59502717,1.001476885,27,0.000369221,0.009968975,0.734817814,4.584215722
sander,Calidris alba,Sanderling,shorebird,Charadriiformes,Scolopacidae,13,5,Shorebirds strongly negatively affected in Song et al. 2024,51.71,2.712616828,10.88588498,3,4,5,2,2756.466375,1.323221559,37.5,0.08080539,3.030202119,0.666801619,5184.95881
santer1,Thalasseus sandvicensis,Sandwich Tern,waterbird,Charadriiformes,Laridae,10,5,Shorebirds strongly negatively affected in Song et al. 2024,199.83,8.257591892,18.03815902,3,5,3,1,28.30812766,1.003319394,18,0.000829848,0.014937272,0.793117409,66.88745497
savspa,Passerculus sandwichensis,Savannah Sparrow,landbird,Passeriformes,Passerellidae,10,1,,19.97,1.239143191,11.28360618,2.416666667,4,4,2,1648.955318,1.193355491,8.833333333,0.048338873,0.426993376,0.852496626,902.8719119
