species_code,scientific_name,common_name.x,group,order,family,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,exposure,exposure_scaled,VI,exposure_scaled_2,risk,reduction_factor,abs_target
amerob,Turdus migratorius,American Robin,landbird,Passeriformes,Turdidae,7,1,,78.5,3.82547029,10.6874045,3,3,1,3,3256.93753,1.3819065,3,0.095476625,0.286429875,0.890283401,2357.457399
amewig,Mareca americana,American Wigeon,waterfowl,Anseriformes,Anatidae,10,4,,754.61,24.66399311,6.560685714,5,1,3,5,544.3035425,1.0638247,60,0.015956175,0.957370501,0.521052632,266.5858744
amgplo,Pluvialis dominica,American Golden-Plover,shorebird,Charadriiformes,Charadriidae,15,5,Shorebirds strongly negatively affected in Song et al. 2024,151.47,6.572921009,8.764249745,3.222222222,3,5,3,478.2195846,1.056075736,46.66666667,0.014018934,0.654216916,0.607422402,285.4678576
amtspa,Spizelloides arborea,American Tree Sparrow,landbird,Passeriformes,Passerellidae,12,1,,17.83,1.128712487,14.98974157,2,5,4,1,1034.793097,1.121339205,6,0.030334801,0.182008807,0.870850202,794.7762866
amwpel,Pelecanus erythrorhynchos,American White Pelican,waterbird,Pelecaniformes,Pelecanidae,10,4,,5608.48,128.6566246,9.379035159,5,3,3,3,9.67365691,1.001134327,48,0.000283582,0.013611925,0.598785425,3.383634019
babwar,Setophaga castanea,Bay-breasted Warbler,landbird,Passeriformes,Parulidae,10,1,,11.8,0.803443199,7.642024308,1.470588235,2,3,4,5752.79725,1.674569483,8.205882353,0.168642371,1.383859454,0.856561086,5838.208253
baisan,Calidris bairdii,Baird's Sandpiper,shorebird,Charadriiformes,Scolopacidae,13,5,Shorebirds strongly negatively affected in Song et al. 2024,40.97,2.239368804,5.308150395,3.535714286,1,5,5,3.625105334,1.000425078,64.01785714,0.000106269,0.00680314,0.495026027,3.053579588
baleag,Haliaeetus leucocephalus,Bald Eagle,landbird,Accipitriformes,Accipitridae,9,3,,4700.58,111.2435736,9.350928191,3.6,3,3,3,867.6822924,1.101743894,29.7,0.025435974,0.755448415,0.717327935,692.9963545
balori,Icterus galbula,Baltimore Oriole,landbird,Passeriformes,Icteridae,11,1,,32.83,1.865988889,6.285223499,3,1,4,5,3536.258487,1.414659505,16,0.103664876,1.658638019,0.806072874,2372.288652
banswa,Riparia riparia,Bank Swallow,landbird,Passeriformes,Hirundinidae,11,2,"""Presently breeds primarily in lowland areas along ocean coasts, rivers, streams, lakes, reservoirs, and wetlands (Cramp 1988, Turner and Rose 1989a, Am. Ornithol. Union American Ornithologists' Union 1998a). """,12.68,0.852469845,9.237974843,1,3,4,3,1311.614489,1.153799112,16,0.038449778,0.615196447,0.806072874,660.7016712
bargol,Bucephala islandica,Barrow's Goldeneye,waterfowl,Anseriformes,Anatidae,13,5,"""Prefers open water without emergent or dense submerged vegetation.""",921.21,29.06753054,10.27684834,5,3,5,3,6.95900901,1.000816009,100,0.000204002,0.020400228,0.26194332,5.942339761
barswa,Hirundo rustica,Barn Swallow,landbird,Passeriformes,Hirundinidae,9,2,,17.91,1.13288131,14.15911666,1,5,2,1,1167.662807,1.136919426,4,0.034229856,0.136919426,0.883805668,893.9099251
bawwar,Mniotilta varia,Black-and-white Warbler,landbird,Passeriformes,Parulidae,9,1,,10.9,0.752629254,10.56938024,1,3,2,3,4134.481904,1.484806816,4,0.121201704,0.484806816,0.883805668,3631.236334
bcnher,Nycticorax nycticorax,Black-crowned Night Heron,waterbird,Pelecaniformes,Ardeidae,10,3,,810,26.14545796,12.25769294,4,4,3,2,337.2666367,1.039547679,27,0.00988692,0.266946835,0.734817814,158.2702802
belkin1,Megaceryle alcyon,Belted Kingfisher,landbird,Coraciiformes,Alcedinidae,10,3,,148,6.448667249,8.212581792,3,2,3,4,3608.693417,1.42315318,31.5,0.105788295,3.332331296,0.705668016,2694.214421
bicthr,Catharus bicknelli,Bicknell's Thrush,landbird,Passeriformes,Turdidae,17,1,,27.79,1.626680494,6.141142038,2.642857143,1,5,5,20090.95538,3.355853126,19.10714286,0.588963281,11.25340556,0.785945633,47485.67762
bkbcuc,Coccyzus erythropthalmus,Black-billed Cuckoo,landbird,Cuculiformes,Cuculidae,12,1,,50.9,2.677576693,6.102075697,2,1,4,5,21953.41111,3.574243544,14,0.643560886,9.009852405,0.81902834,22644.48068
bkbplo,Pluvialis squatarola,Black-bellied Plover,shorebird,Charadriiformes,Charadriidae,13,5,Shorebirds strongly negatively affected in Song et al. 2024,250,9.930311132,12.01517312,4,4,5,2,2805.461628,1.328966713,45,0.082241678,3.700875517,0.618218623,3775.671931
bkbwar,Setophaga fusca,Blackburnian Warbler,landbird,Passeriformes,Parulidae,10,1,,9.74,0.686023061,6.304667346,1.470588235,1,3,5,4584.274226,1.537549189,9.705882353,0.134387297,1.304347296,0.846844487,5430.096419
bkbwoo,Picoides arcticus,Black-backed Woodpecker,landbird,Piciformes,Picidae,8,1,,69.24,3.449798699,15.15790339,2.454545455,5,2,1,116.081999,1.013611704,3.454545455,0.003402926,0.011755563,0.887338977,643.0798897
bkcchi,Poecile atricapillus,Black-capped Chickadee,landbird,Passeriformes,Paridae,7,1,,10.8,0.746938491,11.66235718,2,4,1,2,1973.245016,1.231381502,2,0.057845376,0.115690751,0.896761134,1898.426474
bkpwar,Setophaga striata,Blackpoll Warbler,landbird,Passeriformes,Parulidae,11,1,,11.84,0.805685359,8.20511157,1,2,4,4,15005.43953,2.75952865,10,0.439882163,4.398821626,0.844939271,10147.68659
blksco2,Melanitta americana,Black Scoter,waterfowl,Anseriformes,Anatidae,13,5,"""Feeds in open water; usually avoids dense aquatic vegetation which is rare in its breeding areas.""",1049.98,32.37436981,6.380800237,5,1,5,5,2824.226304,1.331167047,125,0.082791762,10.34897022,0.1,7546.526791
blkter,Chlidonias niger,Black Tern,waterbird,Charadriiformes,Laridae,12,5,Gulls and terns strongly negatively affected in Song et al. 2024,65.3,3.28731061,10.726734,1,3,4,3,89.21601337,1.010461415,24,0.002615354,0.062768491,0.754251012,56.21773754
blkvul,Coragyps atratus,Black Vulture,landbird,Cathartiformes,Cathartidae,5,1,,1881.69,52.34182745,11.66384916,4,4,1,2,126.6171583,1.01484705,3,0.003711763,0.011135288,0.890283401,82.24122633
blugrb1,Passerina caerulea,Blue Grosbeak,landbird,Passeriformes,Cardinalidae,7,1,,27.39,1.607374538,6.573013719,2,1,1,5,592.3341321,1.069456738,3.5,0.017364184,0.060774645,0.887044534,368.4414372
blujay,Cyanocitta cristata,Blue Jay,landbird,Passeriformes,Corvidae,8,1,,88,4.202823103,11.69048943,3,4,1,2,2904.737816,1.340607778,2.5,0.085151944,0.212879861,0.893522267,2604.095908
bnhcow,Molothrus ater,Brown-headed Cowbird,landbird,Passeriformes,Icteridae,8,1,,40.26,2.207361477,6.954486434,3,2,1,4,2304.420346,1.270214919,3.5,0.06755373,0.236438054,0.887044534,1510.780039
bnhnut,Sitta pusilla,Brown-headed Nuthatch,landbird,Passeriformes,Sittidae,13,1,,10.2,0.712594784,7.869507716,2,2,5,4,369.3562519,1.043310488,15,0.010827622,0.16241433,0.812550607,271.6243726
boboli,Dolichonyx oryzivorus,Bobolink,landbird,Passeriformes,Icteridae,14,1,,31.46,1.801624591,7.020170813,3,2,5,4,10206.8177,2.196845193,17.5,0.299211298,5.23619772,0.796356275,6417.830696
bohwax,Bombycilla garrulus,Bohemian Waxwing,landbird,Passeriformes,Bombycillidae,11,1,,54.41,2.82872828,10.01108958,3,3,4,3,575.7991843,1.06751786,12,0.016879465,0.202553579,0.831983806,457.4841012
bongul,Chroicocephalus philadelphia,Bonaparte's Gull,waterbird,Charadriiformes,Laridae,10,5,Gulls and terns strongly negatively affected in Song et al. 2024,210.71,8.626091056,9.604239613,3.114285714,3,3,3,3317.471801,1.389004712,27.51428571,0.097251178,2.675796698,0.731486408,4619.440014
botgra,Quiscalus major,Boat-tailed Grackle,landbird,Passeriformes,Icteridae,13,1,,151.21,6.563628475,5.969176669,3,1,5,5,270.6045304,1.031730922,20,0.00793273,0.158654608,0.780161943,353.0641768
brant,Branta bernicla,Brant,waterfowl,Anseriformes,Anatidae,13,4,,1277.91,38.05937473,13.08853487,5,4,5,2,14988.68833,2.757564416,70,0.439391104,30.75737727,0.456275304,10420.96353
brdowl,Strix varia,Barred Owl,landbird,Strigiformes,Strigidae,7,1,,711.49,23.49740452,11.14611429,3,4,1,2,2560.770221,1.300274348,2.5,0.075068587,0.187671468,0.893522267,3042.505817
brncre,Certhia americana,Brown Creeper,landbird,Passeriformes,Certhiidae,8,1,,8.1,0.58938339,6.018607343,1,1,2,5,3044.143696,1.356954426,6,0.089238606,0.535431639,0.870850202,2772.650383
brnowl,Tyto alba,Barn Owl,landbird,Strigiformes,Tytonidae,8,1,,403.32,14.72352047,19.7133655,3,5,2,1,1.958245718,1.000229623,4,5.74E-05,0.000229623,0.883805668,2.79807539
brnpel,Pelecanus occidentalis,Brown Pelican,waterbird,Pelecaniformes,Pelecanidae,11,4,,3427.84,85.77243573,9.724952543,5,3,4,3,89.02050908,1.01043849,64,0.002609623,0.167015846,0.4951417,425.691583
brnthr,Toxostoma rufum,Brown Thrasher,landbird,Passeriformes,Mimidae,11,1,,68.8,3.431735418,8.064190755,3,2,4,4,2735.107581,1.32071704,14,0.08017926,1.122509641,0.81902834,2214.042883
brwhaw,Buteo platypterus,Broad-winged Hawk,landbird,Accipitriformes,Accipitridae,8,1,,453.65,16.22066743,33.45377128,4,5,1,1,5094.833426,1.597417048,2.5,0.149354262,0.373385655,0.893522267,5206.937541
btbwar,Setophaga caerulescens,Black-throated Blue Warbler,landbird,Passeriformes,Parulidae,10,1,,10.14,0.709141098,7.691523347,1,2,3,4,9749.122059,2.143176083,7.5,0.285794021,2.143455155,0.861133603,9204.611997
btnwar,Setophaga virens,Black-throated Green Warbler,landbird,Passeriformes,Parulidae,11,1,,8.69,0.624515527,8.426362241,2,3,4,3,5132.634978,1.601849635,10,0.150462409,1.504624087,0.844939271,6394.812165
bubsan,Calidris subruficollis,Buff-breasted Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,5,Shorebirds strongly negatively affected in Song et al. 2024,62.1,3.154065349,7.213733323,3.535714286,2,5,4,77.22544285,1.009055408,56.51785714,0.002263852,0.127948066,0.543609023,34.23207162
buffle,Bucephala albeola,Bufflehead,waterfowl,Anseriformes,Anatidae,8,4,,397.46,14.54712705,17.73095333,5,5,1,1,3533.695408,1.41435896,12,0.10358974,1.243076879,0.831983806,3401.532957
buggna,Polioptila caerulea,Blue-gray Gnatcatcher,landbird,Passeriformes,Polioptilidae,8,1,,5.8,0.447655115,13.21984428,2,4,2,2,1530.647856,1.17948283,4,0.044870708,0.17948283,0.883805668,1094.945121
buhvir,Vireo solitarius,Blue-headed Vireo,landbird,Passeriformes,Vireonidae,8,1,,15.3,0.995070031,11.00981344,2,4,1,2,7181.268838,1.842071187,2,0.210517797,0.421035593,0.896761134,8412.417549
buwtea,Spatula discors,Blue-winged Teal,waterfowl,Anseriformes,Anatidae,8,4,,359.44,13.39113766,12.90516027,5,4,1,2,59.24133772,1.006946603,14,0.001736651,0.02431311,0.81902834,37.33247642
buwwar,Vermivora cyanoptera,Blue-winged Warbler,landbird,Passeriformes,Parulidae,14,1,,8.9,0.636917404,22.74741917,1.470588235,5,5,1,19588.95432,3.296988789,6.176470588,0.574247197,3.546820923,0.869707073,11838.06706
cacgoo1,Branta hutchinsii,Cackling Goose,waterfowl,Anseriformes,Anatidae,10,4,,2811.68,72.85876559,14.46559166,5,5,3,1,12.82915539,1.001504339,36,0.000376085,0.01353905,0.676518219,6.643277277
camwar,Setophaga tigrina,Cape May Warbler,landbird,Passeriformes,Parulidae,11,1,,10.04,0.703376923,9.956351054,1,3,4,3,9280.279237,2.088199861,8,0.272049965,2.176399721,0.857894737,8053.864171
cangoo,Branta canadensis,Canada Goose,waterfowl,Anseriformes,Anatidae,6,4,,2811.68,72.85876559,11.32888925,5,4,1,2,4774.164217,1.559815573,14,0.139953893,1.959354505,0.81902834,3089.683705
canvas,Aythya valisineria,Canvasback,waterfowl,Anseriformes,Anatidae,10,4,,1202,36.18762063,8.244126707,5,2,3,4,3821.839661,1.448146578,54,0.112036645,6.049978808,0.559919028,3192.898031
canwar,Cardellina canadensis,Canada Warbler,landbird,Passeriformes,Parulidae,13,1,,10.04,0.703376923,13.70426137,1.470588235,4,5,2,9415.05502,2.104003586,8.676470588,0.276000897,2.394713662,0.853512741,8502.779387
carchi,Poecile carolinensis,Carolina Chickadee,landbird,Passeriformes,Paridae,9,1,,9.99,0.70049104,19.99562472,1.444444444,5,3,1,1343.407557,1.157527147,3.666666667,0.039381787,0.144399885,0.885964912,1164.747015
carwre,Thryothorus ludovicianus,Carolina Wren,landbird,Passeriformes,Troglodytidae,7,1,,18.96,1.187298842,6.872878986,2,2,1,4,2179.571487,1.255575218,3,0.063893804,0.191681413,0.890283401,1590.355555
caster1,Hydroprogne caspia,Caspian Tern,waterbird,Charadriiformes,Laridae,9,5,Gulls and terns strongly negatively affected in Song et al. 2024,655,21.9499546,12.43105878,4,4,2,2,2615.750602,1.306721314,18,0.076680328,1.380245912,0.793117409,2220.672828
categr,Bubulcus ibis/coromandus,Western/Eastern Cattle Egret,waterbird,Pelecaniformes,Ardeidae,9,5,Eastern cattle egret completely absent in FPV (Song et al. 2024),365.95,13.59054696,31.77653636,3.4,5,3,1,11.77540561,1.001380777,19.8,0.000345194,0.006834845,0.78145749,4.57463909
cedwax,Bombycilla cedrorum,Cedar Waxwing,landbird,Passeriformes,Bombycillidae,8,1,,31.58,1.807281823,17.45170801,2,5,1,1,4875.315045,1.571676457,1.5,0.142919114,0.214378671,0.9,4323.864145
cerwar,Setophaga cerulea,Cerulean Warbler,landbird,Passeriformes,Parulidae,14,1,,9.04,0.645156598,11.1298482,1.470588235,4,5,2,3603.105043,1.422497891,8.676470588,0.105624473,0.916447631,0.853512741,10408.99423
chispa,Spizella passerina,Chipping Sparrow,landbird,Passeriformes,Passerellidae,9,1,,12.2,0.825805278,6.975588938,1,2,2,4,1977.378646,1.231866209,5,0.057966552,0.289832762,0.877327935,1464.881237
chiswi,Chaetura pelagica,Chimney Swift,landbird,Apodiformes,Apodidae,13,1,,23.6,1.421847875,10.73227893,2,3,5,3,5822.313793,1.68272095,12.5,0.170680238,2.133502969,0.828744939,3838.368548
chswar,Setophaga pensylvanica,Chestnut-sided Warbler,landbird,Passeriformes,Parulidae,12,1,,9.29,0.659813765,12.34057208,2,4,4,2,4976.27276,1.583514697,8,0.145878674,1.167029393,0.857894737,5267.673355
chwwid,Antrostomus carolinensis,Chuck-will's-widow,landbird,Caprimulgiformes,Caprimulgidae,12,1,,109,5.01279882,11.76255111,2,4,4,2,9240.395793,2.083523152,8,0.270880788,2.167046305,0.857894737,2517.292601
clcspa,Spizella pallida,Clay-colored Sparrow,landbird,Passeriformes,Passerellidae,10,1,,11.2,0.76964669,12.81323642,2.416666667,4,3,2,10.37758175,1.001216869,6.625,0.000304217,0.002015439,0.866801619,5.626287774
cliswa,Petrochelidon pyrrhonota,Cliff Swallow,landbird,Passeriformes,Hirundinidae,5,2,,21.6,1.321851885,18.45422861,1.25,5,1,1,44.27093688,1.005191183,2.25,0.001297796,0.00292004,0.8951417,45.52857083
comgal1,Gallinula galeata,Common Gallinule,waterbird,Gruiformes,Rallidae,8,3,"Song et al. 2024 found proportion of total richness was higher for vegetation gleaners, but absolute numbers were lower for eurasian coot and higher for common moorhen. Appears less impacted than other guilds.",383,14.10987925,5.4736618,4,1,2,5,31.85101606,1.003734831,27,0.000933708,0.025210107,0.734817814,11.17821579
comgol,Bucephala clangula,Common Goldeneye,waterfowl,Anseriformes,Anatidae,9,4,,918.56,28.99865439,11.93646962,5,4,2,2,1308.132006,1.153390758,28,0.038347689,1.073735306,0.728340081,1842.922975
comgra,Quiscalus quiscula,Common Grackle,landbird,Passeriformes,Icteridae,10,1,,105.18,4.867674502,8.508124762,3,3,3,3,20797.53003,3.438705636,9,0.609676409,5.487087681,0.851417004,12650.20156
comloo,Gavia immer,Common Loon,waterbird,Gaviiformes,Gaviidae,9,5,,4956.81,116.2136834,13.08639194,5,4,2,2,3848.588194,1.451283095,35,0.112820774,3.948727082,0.682995951,4618.935788
commer,Mergus merganser,Common Merganser,waterfowl,Anseriformes,Anatidae,10,5,,1451.02,42.25680685,11.33160116,5,4,3,2,6394.081752,1.749766111,52.5,0.187441528,9.840680206,0.569635628,4059.810383
comnig,Chordeiles minor,Common Nighthawk,landbird,Caprimulgiformes,Caprimulgidae,11,1,,79.3,3.85754621,11.66384916,2,4,4,2,3974.412368,1.466037161,8,0.11650929,0.932074321,0.857894737,2721.420157
comrav,Corvus corax,Common Raven,landbird,Passeriformes,Corvidae,6,1,,927.97,29.24307165,10.05751318,4,3,1,3,121.1504619,1.014206029,3.5,0.003551507,0.012430275,0.887044534,143.1897723
comred,Acanthis flammea,Common Redpoll,landbird,Passeriformes,Fringillidae,9,1,,13,0.870147069,13.96872365,2.125,4,3,2,130.6092953,1.015315166,6.1875,0.003828791,0.023690647,0.869635628,237.0954014
comyel,Geothlypis trichas,Common Yellowthroat,landbird,Passeriformes,Parulidae,9,2,,9.54,0.67440147,16.19271501,2,5,2,1,3638.197825,1.426612849,6,0.106653212,0.639919274,0.870850202,2929.489234
coohaw,Accipiter cooperii,Cooper's Hawk,landbird,Accipitriformes,Accipitridae,7,1,,429.67,15.51121311,18.13512423,4,5,1,1,4156.008679,1.487331033,2.5,0.121832758,0.304581896,0.893522267,2493.6583
daejun,Junco hyemalis,Dark-eyed Junco,landbird,Passeriformes,Passerellidae,9,1,,19.5,1.215076634,19.83101686,2,5,2,1,1567.34253,1.183785625,3,0.045946406,0.137839219,0.890283401,1428.898749
dickci,Spiza americana,Dickcissel,landbird,Passeriformes,Cardinalidae,10,1,,26.18,1.548667065,9.249221875,2,3,3,3,45.36988315,1.005320045,7.5,0.001330011,0.009975084,0.861133603,24.62229313
doccor,Nannopterum auritum,Double-crested Cormorant,waterbird,Suliformes,Phalacrocoracidae,8,1,Positive response according to Song et al. 2024.,1806.49,50.61306522,7.188062921,5,2,2,4,3947.406422,1.46287046,27,0.115717615,3.124375604,0.734817814,3610.744697
dowwoo,Dryobates pubescens,Downy Woodpecker,landbird,Piciformes,Picidae,8,1,,25.55,1.517911602,6.017030586,2,1,2,5,2483.971315,1.291268955,7,0.072817239,0.509720672,0.86437247,1877.49446
dunlin,Calidris alpina,Dunlin,shorebird,Charadriiformes,Scolopacidae,12,5,Shorebirds strongly negatively affected in Song et al. 2024,51.89,2.720390323,11.12705897,3,4,4,2,2300.541052,1.269760035,30,0.067440009,2.023200263,0.715384615,4116.192596
easblu,Sialia sialis,Eastern Bluebird,landbird,Passeriformes,Turdidae,7,1,,27.5,1.612688607,9.518001008,2,3,1,3,2974.00238,1.348729698,2.5,0.087182424,0.217956061,0.893522267,2343.143476
easkin,Tyrannus tyrannus,Eastern Kingbird,landbird,Passeriformes,Tyrannidae,11,2,,39.85,2.188833055,7.207102753,1,2,4,4,1398.984312,1.164044044,20,0.041011011,0.820220219,0.780161943,928.9980316
easmea,Sturnella magna,Eastern Meadowlark,landbird,Passeriformes,Icteridae,11,1,,91.76,4.350154628,8.973032341,4,3,4,3,977.6688965,1.114640856,14,0.028660214,0.401242997,0.81902834,884.4849523
easowl1,Megascops asio,Eastern Screech-Owl,landbird,Strigiformes,Strigidae,9,1,,179.99,7.576286932,6.446676831,4,1,3,5,8413.35267,1.986544582,13.5,0.246636146,3.329587965,0.822267206,8147.69332
easpho,Sayornis phoebe,Eastern Phoebe,landbird,Passeriformes,Tyrannidae,9,1,,19.7,1.225330096,11.94155295,1,4,2,2,4295.152403,1.503646941,3,0.125911735,0.377735206,0.890283401,3632.083962
eastow,Pipilo erythrophthalmus,Eastern Towhee,landbird,Passeriformes,Passerellidae,13,1,,40.03,2.196971607,14.12161675,3,5,5,1,4439.133914,1.520530124,10,0.130132531,1.301325311,0.844939271,4187.762831
easwpw1,Antrostomus vociferus,Eastern Whip-poor-will,landbird,Caprimulgiformes,Caprimulgidae,14,1,,53.3,2.781119599,6.813611738,1.75,2,5,4,10367.57066,2.215694988,14.375,0.303923747,4.368903862,0.81659919,10871.33511
eawpew,Contopus virens,Eastern Wood-Pewee,landbird,Passeriformes,Tyrannidae,9,1,,13.9,0.919460286,5.702824581,1,1,3,5,2763.951709,1.324099285,9,0.081024821,0.729223391,0.851417004,2355.613159
eursta,Sturnus vulgaris,European Starling,landbird,Passeriformes,Sturnidae,9,1,,77.14,3.770808317,9.746803211,3,3,2,3,2480.844093,1.290902259,6,0.072725565,0.436353389,0.870850202,1728.94386
evegro,Coccothraustes vespertinus,Evening Grosbeak,landbird,Passeriformes,Fringillidae,14,1,,57.3,2.951889623,9.519693898,2.125,3,5,3,974.0467248,1.114216123,12.8125,0.028554031,0.365848517,0.826720648,2038.452381
fiespa,Spizella pusilla,Field Sparrow,landbird,Passeriformes,Passerellidae,13,1,,12.5,0.842491874,10.3492698,2,3,5,3,4474.409469,1.524666515,12.5,0.131166629,1.639582858,0.828744939,3632.610236
fiscro,Corvus ossifragus,Fish Crow,landbird,Passeriformes,Corvidae,11,1,,284.6,11.04896631,12.82134167,3,4,4,2,15580.7802,2.826992745,10,0.456748186,4.567481863,0.844939271,6131.3191
forter,Sterna forsteri,Forster's Tern,waterbird,Charadriiformes,Laridae,13,5,Gulls and terns strongly negatively affected in Song et al. 2024,149,6.484527479,13.87379953,2,4,5,2,2869.275961,1.336449542,30,0.084112386,2.523371566,0.715384615,3272.314869
foxspa,Passerella iliaca,Fox Sparrow,landbird,Passeriformes,Passerellidae,9,1,,33.25,1.885625316,14.60574068,3,5,2,1,4830.484903,1.566419702,4,0.141604925,0.566419702,0.883805668,3862.334908
gadwal,Mareca strepera,Gadwall,waterfowl,Anseriformes,Anatidae,8,4,,915.58,28.92115929,12.35255351,5,4,1,2,712.165215,1.083508057,14,0.020877014,0.2922782,0.81902834,308.2132135
gbbgul,Larus marinus,Great Black-backed Gull,waterbird,Charadriiformes,Laridae,15,5,Gulls and terns strongly negatively affected in Song et al. 2024,1649.71,46.96710064,15.72008641,4,5,5,1,2941.589902,1.344929031,37.5,0.086232258,3.233709662,0.666801619,3113.644278
glagul,Larus hyperboreus,Glaucous Gull,waterbird,Charadriiformes,Laridae,13,5,Gulls and terns strongly negatively affected in Song et al. 2024,1529.04,44.11919039,7.896030979,3.114285714,2,5,4,30.49008812,1.003575249,53.35714286,0.000893812,0.047691269,0.564083285,22.93836577
gloibi,Plegadis falcinellus,Glossy Ibis,waterbird,Pelecaniformes,Threskiornithidae,8,3,,626.61,21.16343827,5.695472285,4,1,2,5,2792.066388,1.327395995,27,0.081848999,2.209922966,0.734817814,1771.868141
gnwtea,Anas crecca,Green-winged Teal,waterfowl,Anseriformes,Anatidae,9,4,,341.89,12.85033934,13.00470334,5,4,2,2,712.7846793,1.083580695,28,0.020895174,0.585064865,0.728340081,371.5077235
gockin,Regulus satrapa,Golden-crowned Kinglet,landbird,Passeriformes,Regulidae,10,1,,6.19,0.472299869,21.04200773,1,5,3,1,2361.556122,1.276914625,3,0.069228656,0.207685969,0.890283401,2396.979907
goleag,Aquila chrysaetos,Golden Eagle,landbird,Accipitriformes,Accipitridae,10,1,Fishing rare,4247.97,102.344773,17.87902288,5,5,3,1,55.60207426,1.006519865,9,0.001629966,0.014669697,0.851417004,160.4316842
gowwar,Vermivora chrysoptera,Golden-winged Warbler,landbird,Passeriformes,Parulidae,15,1,,8.74,0.627473107,7.623729095,1.470588235,2,5,4,475.5084619,1.055757831,13.67647059,0.013939458,0.190642584,0.821124077,1174.263685
graspa,Ammodramus savannarum,Grasshopper Sparrow,landbird,Passeriformes,Passerellidae,12,1,,17.61,1.117231142,8.763468065,2,3,4,3,920.6463054,1.107954422,10,0.026988606,0.269886055,0.844939271,740.0723382
grbher3,Ardea herodias,Great Blue Heron,waterbird,Pelecaniformes,Ardeidae,8,3,,2523.41,66.64927126,9.973478154,4,3,2,3,2322.748226,1.272364035,21,0.068091009,1.429911182,0.773684211,1451.34508
grcfly,Myiarchus crinitus,Great Crested Flycatcher,landbird,Passeriformes,Tyrannidae,8,1,,32.1,1.831752883,6.141142038,1,1,2,5,2635.040988,1.308983293,6,0.077245823,0.463474939,0.870850202,1711.766464
grecor,Phalacrocorax carbo,Great Cormorant,waterbird,Suliformes,Phalacrocoracidae,10,1,Positive response according to Song et al. 2024.,2528.97,66.77018097,8.654677411,5,3,3,3,809.5513373,1.094927494,36,0.023731874,0.854347447,0.676518219,1615.416813
greegr,Ardea alba,Great Egret,waterbird,Pelecaniformes,Ardeidae,6,3,,871.33,27.76509991,6.040560685,3,1,1,5,223.7571043,1.026237621,12,0.006559405,0.078712863,0.831983806,116.6409301
gresca,Aythya marila,Greater Scaup,waterfowl,Anseriformes,Anatidae,10,4,,1005.37,31.23734829,9.577922614,5,3,3,3,6455.013182,1.756910893,48,0.189227723,9.082930717,0.598785425,6739.443962
greyel,Tringa melanoleuca,Greater Yellowlegs,shorebird,Charadriiformes,Scolopacidae,14,5,Shorebirds strongly negatively affected in Song et al. 2024,161.74,6.937780807,12.4930866,4,4,5,2,860.1108992,1.100856077,45,0.025214019,1.13463087,0.618218623,520.3822412
grhowl,Bubo virginianus,Great Horned Owl,landbird,Strigiformes,Strigidae,8,1,,1575.7,45.22494625,5.944838577,4,1,2,5,748.7274605,1.087795324,9,0.021948831,0.197539478,0.851417004,457.9032981
grnher,Butorides virescens,Green Heron,waterbird,Pelecaniformes,Ardeidae,12,3,,201.5,8.314379425,5.801312943,3,1,4,5,2270.962896,1.266291719,48,0.06657293,3.195500624,0.598785425,1136.319647
grycat,Dumetella carolinensis,Gray Catbird,landbird,Passeriformes,Mimidae,8,1,,35.3,1.980853812,14.31766365,2,5,1,1,7301.503935,1.85616988,1.5,0.21404247,0.321063705,0.9,4701.905309
gryjay,Perisoreus canadensis,Canada Jay,landbird,Passeriformes,Corvidae,9,1,,71.58,3.545525914,10.90581212,3.133333333,4,3,2,8.242530055,1.000966514,7.7,0.000241629,0.00186054,0.859838057,61.44435637
gycthr,Catharus minimus,Gray-cheeked Thrush,landbird,Passeriformes,Turdidae,9,1,,31.58,1.807281823,11.77440011,2,4,2,2,4938.419434,1.579076039,4,0.14476901,0.579076039,0.883805668,4176.3766
haiwoo,Dryobates villosus,Hairy Woodpecker,landbird,Piciformes,Picidae,6,1,,62.65,3.177051515,16.74534403,2.454545455,5,1,1,1473.254527,1.172752924,1.727272727,0.043188231,0.074597853,0.898527788,1439.251261
henspa,Centronyx henslowii,Henslow's Sparrow,landbird,Passeriformes,Passerellidae,15,1,,12.8,0.859107928,12.74520081,2.416666667,4,5,2,519.0888029,1.060868035,11.04166667,0.015217009,0.168021139,0.838191633,795.306146
hergul,Larus argentatus,Herring Gull,waterbird,Charadriiformes,Laridae,12,5,Gulls and terns strongly negatively affected in Song et al. 2024,1090.99,33.41212813,22.89108996,4,5,4,1,9284.910992,2.088742977,30,0.272185744,8.165572331,0.715384615,5291.019538
herthr,Catharus guttatus,Hermit Thrush,landbird,Passeriformes,Turdidae,9,1,,30.1,1.737238804,11.4277034,3,4,2,2,4172.292193,1.489240428,5,0.122310107,0.611550535,0.877327935,3595.063414
hoared,Acanthis hornemanni,Hoary Redpoll,landbird,Passeriformes,Fringillidae,9,1,,15.2,0.989711121,16.07594585,2.125,5,3,1,6.240202949,1.000731722,4.6875,0.000182931,0.000857487,0.879352227,6.238529775
